u,v
815,1135
815,2831
1012,1555
1012,2808
1110,1318
1110,2831
1135,2038
1318,1588
1324,1569
1324,1677
1324,1792
1334,1591
1334,2840
1334,2841
1364,1481
1364,2808
1481,1623
1486,1677
1486,1791
1486,2841
1555,1569
1588,1591
1623,2844
2035,2840
2834,2840
