u,v
1358,1447
1358,1971
1447,1968
1447,2661
1454,1955
1454,1968
1621,1962
1621,1963
1621,2661
1955,1964
1956,1962
1957,1960
1957,1962
1960,1961
1961,1966
1971,1972
