city,replicates_per_family,requested_total_replicates,aggregate_s1_npc_jpy,ltp_pct,change_from_previous_ltp_percentage_points,mean_non_singleton_records_used_per_cluster
sano,2,4,24320132460.087223,4.12699134187707,,4.0
sano,4,8,24322476966.959366,4.136232790762285,0.00924144888521461,8.0
sano,6,12,24324292227.679432,4.143386862480535,0.007154071718249888,12.0
sano,8,16,24324255125.31677,4.143240650117361,-0.00014621236317324815,16.0
sano,10,20,24325824815.660614,4.149426069550579,0.006185419433217376,20.0
sano,12,24,24326972130.772133,4.153946599739333,0.004520530188754535,24.0
kudamatsu,2,4,14092363396.680239,6.153995620113493,,4.0
kudamatsu,4,8,14091943461.90917,6.151199043440339,-0.0027965766731536945,8.0
kudamatsu,6,12,14093818559.609322,6.1636850613418295,0.012486017901490065,12.0
kudamatsu,8,16,14090904598.177504,6.144279962064488,-0.019405099277341797,16.0
kudamatsu,10,20,14090235785.46944,6.139824969313371,-0.004454992751116826,20.0
kudamatsu,12,24,14090917040.840456,6.144362839217706,0.0045378699043352455,24.0
yasu,2,4,10613898626.201485,4.990871053270647,,4.0
yasu,4,8,10621662817.2999,5.060320540222438,0.06944948695179143,8.0
yasu,6,12,10618558553.091312,5.032565563174638,-0.027754977047799834,12.0
yasu,8,16,10616847893.726612,5.017263758657225,-0.015301804517413586,16.0
yasu,10,20,10616412943.947887,5.013372357641744,-0.003891401015480689,20.0
yasu,12,24,10617579556.474352,5.023809066786685,0.010436709144940437,24.0
