city,cluster,s1_candidate,selection_count
kudamatsu,0,c000_r00_A_steiner.csv,217
kudamatsu,0,c000_r01_A_steiner.csv,207
kudamatsu,0,c000_r02_A_steiner.csv,212
kudamatsu,0,c000_r03_A_steiner.csv,188
kudamatsu,0,c000_r04_A_steiner.csv,232
kudamatsu,0,c000_r05_A_steiner.csv,211
kudamatsu,0,c000_r06_A_steiner.csv,210
kudamatsu,0,c000_r07_A_steiner.csv,215
kudamatsu,0,c000_r08_A_steiner.csv,227
kudamatsu,0,c000_r09_A_steiner.csv,203
kudamatsu,0,c000_r10_A_steiner.csv,216
kudamatsu,0,c000_r11_A_steiner.csv,195
kudamatsu,0,c000_r12_B_incremental.csv,225
kudamatsu,0,c000_r13_B_incremental.csv,205
kudamatsu,0,c000_r14_B_incremental.csv,213
kudamatsu,0,c000_r15_B_incremental.csv,193
kudamatsu,0,c000_r16_B_incremental.csv,180
kudamatsu,0,c000_r17_B_incremental.csv,208
kudamatsu,0,c000_r18_B_incremental.csv,212
kudamatsu,0,c000_r19_B_incremental.csv,223
kudamatsu,0,c000_r20_B_incremental.csv,192
kudamatsu,0,c000_r21_B_incremental.csv,195
kudamatsu,0,c000_r22_B_incremental.csv,199
kudamatsu,0,c000_r23_B_incremental.csv,222
kudamatsu,1,c001_r00_A_steiner.csv,197
kudamatsu,1,c001_r01_A_steiner.csv,186
kudamatsu,1,c001_r02_A_steiner.csv,197
kudamatsu,1,c001_r03_A_steiner.csv,214
kudamatsu,1,c001_r04_A_steiner.csv,193
kudamatsu,1,c001_r05_A_steiner.csv,211
kudamatsu,1,c001_r06_A_steiner.csv,197
kudamatsu,1,c001_r07_A_steiner.csv,194
kudamatsu,1,c001_r08_A_steiner.csv,227
kudamatsu,1,c001_r09_A_steiner.csv,209
kudamatsu,1,c001_r10_A_steiner.csv,214
kudamatsu,1,c001_r11_A_steiner.csv,222
kudamatsu,1,c001_r12_B_incremental.csv,212
kudamatsu,1,c001_r13_B_incremental.csv,222
kudamatsu,1,c001_r14_B_incremental.csv,208
kudamatsu,1,c001_r15_B_incremental.csv,206
kudamatsu,1,c001_r16_B_incremental.csv,220
kudamatsu,1,c001_r17_B_incremental.csv,219
kudamatsu,1,c001_r18_B_incremental.csv,221
kudamatsu,1,c001_r19_B_incremental.csv,217
kudamatsu,1,c001_r20_B_incremental.csv,242
kudamatsu,1,c001_r21_B_incremental.csv,216
kudamatsu,1,c001_r22_B_incremental.csv,177
kudamatsu,1,c001_r23_B_incremental.csv,179
kudamatsu,2,c002_r00_A_steiner.csv,226
kudamatsu,2,c002_r01_A_steiner.csv,213
kudamatsu,2,c002_r02_A_steiner.csv,209
kudamatsu,2,c002_r03_A_steiner.csv,208
kudamatsu,2,c002_r04_A_steiner.csv,228
kudamatsu,2,c002_r05_A_steiner.csv,211
kudamatsu,2,c002_r06_A_steiner.csv,225
kudamatsu,2,c002_r07_A_steiner.csv,204
kudamatsu,2,c002_r08_A_steiner.csv,199
kudamatsu,2,c002_r09_A_steiner.csv,180
kudamatsu,2,c002_r10_A_steiner.csv,198
kudamatsu,2,c002_r11_A_steiner.csv,230
kudamatsu,2,c002_r12_B_incremental.csv,178
kudamatsu,2,c002_r13_B_incremental.csv,198
kudamatsu,2,c002_r14_B_incremental.csv,190
kudamatsu,2,c002_r15_B_incremental.csv,187
kudamatsu,2,c002_r16_B_incremental.csv,214
kudamatsu,2,c002_r17_B_incremental.csv,206
kudamatsu,2,c002_r18_B_incremental.csv,234
kudamatsu,2,c002_r19_B_incremental.csv,213
kudamatsu,2,c002_r20_B_incremental.csv,214
kudamatsu,2,c002_r21_B_incremental.csv,196
kudamatsu,2,c002_r22_B_incremental.csv,229
kudamatsu,2,c002_r23_B_incremental.csv,210
kudamatsu,3,c003_r00_A_steiner.csv,219
kudamatsu,3,c003_r01_A_steiner.csv,213
kudamatsu,3,c003_r02_A_steiner.csv,194
kudamatsu,3,c003_r03_A_steiner.csv,215
kudamatsu,3,c003_r04_A_steiner.csv,223
kudamatsu,3,c003_r05_A_steiner.csv,223
kudamatsu,3,c003_r06_A_steiner.csv,249
kudamatsu,3,c003_r07_A_steiner.csv,182
kudamatsu,3,c003_r08_A_steiner.csv,214
kudamatsu,3,c003_r09_A_steiner.csv,202
kudamatsu,3,c003_r10_A_steiner.csv,209
