city,cluster,u,v,freq
yasu,0,1830.0,1831.0,1.0
yasu,0,1830.0,419.0,1.0
yasu,0,415.0,419.0,1.0
yasu,1,1707.0,2119.0,1.0
yasu,1,2100.0,2119.0,1.0
yasu,1,2100.0,290.0,1.0
yasu,2,1828.0,402.0,1.0
yasu,3,1640.0,1642.0,1.0
yasu,3,1640.0,2046.0,1.0
yasu,3,1629.0,2046.0,1.0
yasu,3,1629.0,1680.0,1.0
yasu,4,1708.0,241.0,1.0
yasu,5,1921.0,1922.0,1.0
yasu,5,1921.0,445.0,1.0
yasu,5,1832.0,434.0,1.0
yasu,5,1834.0,434.0,1.0
yasu,5,1832.0,444.0,1.0
yasu,5,1831.0,1834.0,1.0
yasu,5,1833.0,444.0,1.0
yasu,5,1831.0,445.0,1.0
yasu,6,1729.0,1734.0,1.0
yasu,6,1712.0,1734.0,1.0
yasu,6,1729.0,1735.0,1.0
yasu,7,1608.0,1616.0,1.0
yasu,7,1616.0,1625.0,1.0
yasu,8,238.0,243.0,1.0
yasu,8,1875.0,243.0,1.0
yasu,8,2048.0,238.0,1.0
yasu,9,1732.0,1733.0,1.0
yasu,10,490.0,493.0,1.0
yasu,10,493.0,495.0,1.0
yasu,11,570.0,573.0,1.0
yasu,11,1845.0,570.0,1.0
yasu,11,1845.0,563.0,1.0
yasu,12,1696.0,1701.0,1.0
yasu,12,1701.0,2077.0,1.0
yasu,12,2077.0,425.0,1.0
yasu,12,2077.0,431.0,1.0
yasu,12,2078.0,431.0,1.0
yasu,13,310.0,321.0,1.0
yasu,13,2624.0,321.0,1.0
yasu,13,2624.0,2625.0,1.0
yasu,13,2625.0,316.0,1.0
yasu,13,306.0,316.0,1.0
yasu,14,1632.0,1633.0,1.0
yasu,15,480.0,508.0,1.0
yasu,16,1621.0,1624.0,1.0
yasu,16,1623.0,1624.0,1.0
yasu,17,1725.0,1727.0,1.0
yasu,19,1685.0,1686.0,1.0
yasu,19,1685.0,1700.0,1.0
yasu,19,1698.0,1700.0,1.0
yasu,20,318.0,323.0,1.0
