city,n_draws,delta_mean,delta_p5,delta_p95,ltp_pct_mean,p_ltp_pos,base_delta
sano,500,1587669663.6775165,598355225.4987409,2866041117.219606,11.91167857800447,1.0,1625513557.7067604
kudamatsu,500,191062379.07281488,-168770634.24839425,667484482.0047157,2.6096964133046003,0.728,186258650.381361
yasu,500,612395958.6094409,223142340.50449556,1117749071.2510443,11.452449691392717,1.0,626649140.7833166
