city,pv_kwp_total,gen_gwh_y,npc_s3,npc_s2,dg_delta_npc,p_s3_better
sano,44296.39680668776,50.444736683456014,-2701032403.998085,11703167646.042566,-14404200050.040651,1.0
kudamatsu,11343.60109318648,12.918092924920764,3437601597.452774,7134990599.100377,-3697389001.647603,1.0
yasu,14348.387402911076,16.339943574435136,62616459.308880106,4720643142.628306,-4658026683.319427,1.0
