city,clusters,total_demand_kw,s1_npc,s2_npc,delta_npc,delta_npc_B,ltp_pct,ltpB_pct,p_ltp_pos,p_ltpB_pos,mean_tld,upsize_km,max_vdrop,s1_plkw,s2_plkw
sano,140,51476.54746081371,13328681203.749325,11703167646.042564,1625513557.706758,1592555908.82054,12.19560684855682,11.977955936350972,0.8285714285714286,0.7928571428571428,0.0917163590377876,22.236627936222387,29.159604312907657,2136.6974887675383,818.7785251260553
kudamatsu,43,17240.926925944495,7321249249.481736,7134990599.100377,186258650.38135996,243387776.5601139,2.544082902170624,3.2986621743741433,0.7674418604651163,0.7906976744186046,0.10853936115564022,7.915204560375372,31.12323672816703,733.7992752220034,292.56443230339556
yasu,55,20012.79366485226,5347292283.411623,4720643142.628306,626649140.7833159,561085771.0403035,11.718999216244596,10.623145947310306,0.8,0.7272727272727273,0.06705183705183705,6.479176138121865,37.78303525314241,798.296534786258,279.5601350742226
