city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,tld
sano,2,3,159.0808240675916,95.44849444055495,12,12,28853335.480699357,28853335.480699357,17731261.34340867,109.45223051486828,0.14716414201518171,0.25879069977510144,28853335.480699357,0.14716414201518171,,,,0,,,,,,False,0.0
sano,3,3,199.21653798545057,119.52992279127037,12,12,15230568.632636912,15230568.632636912,7555175.351438026,46.63688488541991,0.1932134598950547,0.18726840160065505,15230568.632636912,0.1932134598950547,,,,0,,,,,,False,0.0
sano,4,2,78.01019662534486,46.80611797520691,12,12,6493368.288929635,6493368.288929635,1319093.0167317113,8.142549485998218,0.0019143413895438925,0.013058167961832052,6493368.288929635,0.0019143413895438925,,,,0,,,,,,False,0.0
sano,5,2,53.41369613388528,32.04821768033117,12,12,12743760.911385218,12743760.911385218,5949137.807744152,36.72307288730958,0.010386987608705099,0.06459615479650191,12743760.911385218,0.010386987608705099,,,,0,,,,,,False,0.0
sano,8,2,220.33613789145662,132.20168273487397,12,12,18091156.597465243,18091156.597465243,9668923.021714317,59.684710010582215,0.20109176377750745,0.3623439699123071,18091156.597465243,0.20109176377750745,,,,0,,,,,,False,0.0
sano,9,4,201.59418713838258,120.95651228302954,12,12,41622306.88026332,41622306.88026332,26820625.48890538,165.55941659818134,0.4452476036132948,0.5678749650335739,41622306.88026332,0.4452476036132948,,,,0,,,,,,False,0.0
sano,11,3,88.64102534779732,53.184615208678395,12,12,16338253.338372955,16338253.338372955,8588703.799521053,53.01669012050032,0.03281227685894197,0.07492940191318503,16338253.338372955,0.03281227685894197,,,,0,,,,,,False,0.0
sano,12,2,73.19758599839429,43.918551599036576,12,12,15522853.075158278,15522853.075158278,8015828.8138849465,49.480424777067576,0.008036080876526158,0.0659524922586772,15522853.075158278,0.008036080876526158,,,,0,,,,,,False,0.0
sano,13,2,89.20169408121673,53.52101644873004,12,12,12972173.14332158,12972173.14332158,6114505.579121311,37.74386159951427,0.013608601515493446,0.07495873809011888,12972173.14332158,0.013608601515493446,,,,0,,,,,,False,0.0
sano,16,2,58.91667816176377,35.35000689705826,12,12,10034843.36660953,10034843.36660953,3946855.369634925,24.36330475083287,0.003387921155561235,0.030048797621146473,10034843.36660953,0.003387921155561235,,,,0,,,,,,False,0.0
sano,18,2,42.45140675307432,25.470844051844594,12,12,9067057.268830536,9067057.268830536,3228616.5059021492,19.929731517914497,0.0030953734081917233,0.02597763439179292,9067057.268830536,0.0030953734081917233,,,,0,,,,,,False,0.0
sano,20,2,161.38555086305496,96.83133051783297,12,12,12374550.828430986,12374550.828430986,5617689.541521891,34.67709593532032,0.05393634192109873,0.14303899716299023,12374550.828430986,0.05393634192109873,,,,0,,,,,,False,0.0
sano,21,2,229.0067546671159,137.40405280026954,12,12,13007953.727989921,13007953.727989921,5859311.838726447,36.16859159707684,0.22777882086617382,0.3002028573524595,13007953.727989921,0.22777882086617382,,,,0,,,,,,False,0.0
sano,22,2,138.2393842889484,82.94363057336903,12,12,10009850.111513643,10009850.111513643,3926659.384968744,24.23863817881941,0.004632519248449095,0.03504734120495064,10009850.111513643,0.004632519248449095,,,,0,,,,,,False,0.0
sano,23,2,80.96012984500842,48.57607790700506,12,12,11267104.749091491,11267104.749091491,4839156.092093245,29.871333901810157,0.020648139093708693,0.08214102525968317,11267104.749091491,0.020648139093708693,,,,0,,,,,,False,0.0
sano,24,2,172.21205359113947,103.32723215468368,12,12,57050144.3078871,57050144.3078871,37949038.13804924,234.25332183981016,0.694134097299668,1.3336962214870953,57050144.3078871,0.694134097299668,,,,0,,,,,,False,0.0
sano,26,2,143.85411723083396,86.31247033850038,12,12,12522583.730818326,12522583.730818326,5706653.25586396,35.22625466582691,0.06986612430552308,0.16408123411951836,12522583.730818326,0.06986612430552308,,,,0,,,,,,False,0.0
sano,30,2,121.80514525221696,73.08308715133018,12,12,11756087.635810895,11756087.635810895,5181609.604889325,31.985244474625464,0.036335111758842804,0.112753605973675,11756087.635810895,0.036335111758842804,,,,0,,,,,,False,0.0
sano,31,2,51.462941169660986,30.877764701796593,12,12,13070104.67013443,13070104.67013443,6202238.15309536,38.285420698119495,0.002196238073725396,0.030328349237070226,13070104.67013443,0.002196238073725396,,,,0,,,,,,False,0.0
sano,32,3,88.92135352747405,53.35281211648443,12,12,83926424.69691382,83926424.69691382,58598266.558785796,361.7176948073198,0.16782814928494538,0.8110301348373493,83926424.69691382,0.16782814928494538,,,,0,,,,,,False,0.0
sano,33,5,123.89368658523912,74.33621195114348,12,12,26194120.77688584,26194120.77688584,15781610.410086878,97.41734821041285,0.12821238759159723,0.3799653110494077,26194120.77688584,0.12821238759159723,,,,0,,,,,,False,0.33333333333333337
sano,35,2,85.39988980129836,51.23993388077901,12,12,26469300.888008773,26469300.888008773,16052836.941364191,99.09158605780362,0.07736624664106649,0.2895919640566297,26469300.888008773,0.07736624664106649,,,,0,,,,,,False,0.0
sano,36,2,85.78660684184527,51.47196410510716,12,12,6756933.093007623,6756933.093007623,1508569.9421626779,9.312160136806655,0.006650987464765456,0.026029188890422623,6756933.093007623,0.006650987464765456,,,,0,,,,,,False,0.0
sano,37,3,237.03377400378548,142.22026440227125,12,12,33975865.7583174,33975865.7583174,21399971.544577453,132.09858978134233,0.24977419439036339,0.5421847586048303,33975865.7583174,0.24977419439036339,,,,0,,,,,,False,0.0
sano,39,2,90.41167710152908,54.247006260917445,12,12,16392310.341731219,16392310.341731219,8644784.348786611,53.36286635053465,0.020695490861499945,0.1099131850532193,16392310.341731219,0.020695490861499945,,,,0,,,,,,False,0.0
sano,40,2,205.8580979923624,123.51485879541744,12,12,11099220.216835154,11099220.216835154,4668718.68474727,28.819251140415247,0.05544271909402972,0.13220745922644508,11099220.216835154,0.05544271909402972,,,,0,,,,,,False,0.0
sano,42,2,57.93634912903919,34.76180947742351,12,12,5629541.567031987,5629541.567031987,679683.0847169535,4.195574597018231,0.0003793774148950885,0.004172763900678547,5629541.567031987,0.0003793774148950885,,,,0,,,,,,False,0.0
sano,43,3,134.50066398786953,80.70039839272172,12,12,24968908.481478643,24968908.481478643,14846429.894836873,91.64462898047452,0.1475241065132665,0.25717366779260215,24968908.481478643,0.1475241065132665,,,,0,,,,,,False,0.0
sano,45,2,153.54701747851567,92.12821048710938,12,12,26727610.03233086,26727610.03233086,16025001.62355653,98.91976310837366,0.24431757891810416,0.5141753405399964,26727610.03233086,0.24431757891810416,,,,0,,,,,,False,0.0
sano,47,2,98.29923077042162,58.97953846225297,12,12,17385607.936784808,17385607.936784808,9386883.392896965,57.94372464751212,0.017250754720439708,0.10456819386701617,17385607.936784808,0.017250754720439708,,,,0,,,,,,False,0.0
sano,49,2,80.46687696419228,48.28012617851537,12,12,17865582.944207486,17865582.944207486,9764159.611850936,60.27259019661073,0.001384486113995551,0.030213190041442253,17865582.944207486,0.001384486113995551,,,,0,,,,,,False,0.0
sano,51,2,112.55549798141813,67.53329878885087,12,12,5838907.804036811,5838907.804036811,831641.0974744557,5.133587021447257,0.0030440362543671484,0.013074579404175822,5838907.804036811,0.0030440362543671484,,,,0,,,,,,False,0.0
sano,54,2,57.17031774928835,34.302190649573014,12,12,10081345.791680334,10081345.791680334,3981400.668493657,24.5765473363806,0.0033763651188943662,0.03012849862156357,10081345.791680334,0.0033763651188943662,,,,0,,,,,,False,0.0
sano,55,4,261.5011091957996,156.90066551747972,12,12,32548475.60441659,32548475.60441659,19998124.897565093,123.44521541706848,0.5096910483698727,0.42395042962657564,32548475.60441659,0.5096910483698727,,,,0,,,,,,False,0.0
sano,56,3,79.83965479560305,47.90379287736184,12,12,9851869.451349055,9851869.451349055,3802707.6309465994,23.4735038947321,0.009682811663305741,0.03300129431759579,9851869.451349055,0.009682811663305741,,,,0,,,,,,False,0.0
sano,57,3,230.23738176227945,138.14242905736765,12,12,21662769.860172484,21662769.860172484,12099339.341937272,74.68727988850165,0.3695803295942382,0.3797654606471276,21662769.860172484,0.3695803295942382,,,,0,,,,,,False,0.0
sano,58,2,86.09248077880478,51.655488467282865,12,12,11340243.419201935,11340243.419201935,4906436.25964293,30.286643578042785,0.010788390084060706,0.059785552414026624,11340243.419201935,0.010788390084060706,,,,0,,,,,,False,0.0
sano,62,3,113.47342133317653,68.08405279990592,12,12,27994954.976295024,27994954.976295024,17160046.57846165,105.92621344729416,0.09686732187961089,0.19110826161358,27994954.976295024,0.09686732187961089,,,,0,,,,,,False,0.0
sano,63,3,207.83063368653933,124.69838021192359,12,12,14930566.653555812,14930566.653555812,7381404.27213882,45.56422390209149,0.15597298111710847,0.186696906257423,14930566.653555812,0.15597298111710847,,,,0,,,,,,False,0.0
