city,recon,npc,capex,length_m,pl_kw,vdrop_pct,eloss_kwh_y
sano,r00_A_steiner.csv,10958335344609.97,7797273880.902025,48131.32025248164,6179117.508304866,14954.311753200182,18945174280.46272
sano,r01_B_incremental.csv,2556773285476.2695,8599046531.91028,53080.53414759432,1436543.915955315,4369.010618379204,4404443646.318996
sano,r02_A_steiner.csv,10976622372937.94,7797209422.616408,48130.92236182968,6189439.022792944,14969.206064186184,18976820043.883167
sano,r03_B_incremental.csv,3378671567181.922,8701041297.04017,53710.13146321093,1900357.7658329832,7322.606606703082,5826496910.043926
sano,r04_A_steiner.csv,10952071556075.123,7799036567.967056,48142.20103683368,6175580.794867678,14958.41319921966,18934330717.0643
sano,r05_B_incremental.csv,2946988876163.1963,8703234651.834345,53723.67069033546,1656708.0920209812,5022.978421879384,5079467010.136329
sano,r06_A_steiner.csv,10950759205681.43,7797327266.78404,48131.64979496321,6174841.384421426,14897.754091123827,18932063684.636093
sano,r07_B_incremental.csv,1711057937969.6143,8553013153.1667795,52796.37748868382,959244.8300128608,2628.1022566700103,2941044648.8194313
sano,r08_A_steiner.csv,10962201496492.389,7799931179.810427,48147.72333216313,6181297.600975002,14954.799112153933,18951858444.589355
sano,r09_B_incremental.csv,3378876390603.3364,8615722598.893908,53183.47283267844,1900538.2226952212,6191.738121417583,5827050190.783548
sano,r10_A_steiner.csv,11652667482543.326,7799602399.906661,48145.69382658433,6571006.9234087365,16632.917147015833,20146707227.171185
sano,r11_B_incremental.csv,2762381955338.332,8476396246.967009,52323.43362325314,1552685.6755166685,5024.045950142965,4760534281.134106
