node,lat,lon,x_m,y_m,p_kw
6144,36.32703089999999,139.5885901,373316.4032435168,4021146.3994616484,70.23025863671367
6145,36.32728639999999,139.5891817,373369.9200945483,4021173.9673575046,24.57810835237599
6146,36.3273127,139.5901077,373453.0821781347,4021175.6725368295,41.455166997045175
6147,36.327252099999995,139.5906022,373497.3714530505,4021168.3030674867,98.82484344338397
6148,36.32784860000001,139.5901694,373459.48721816036,4021235.0396052036,48.43573936004301
6149,36.33752369999999,139.5831657,372846.55347791134,4022317.496565428,56.78561388550183
6150,36.3370668,139.5829656,372827.8515402711,4022267.075376584,77.37014049077904
6151,36.33678439999999,139.587438,373228.7950821535,4022229.874200098,123.53072667578859
6152,36.3362919,139.5872071,373207.27317995235,4022175.54350151,10.529191281835502
6153,36.335659099999994,139.5873951,373223.1208120128,4022105.0998129863,39.061855661840504
6154,36.3354791,139.587982,373275.5048318887,4022084.362743398,45.44802093324331
6155,36.3200935,139.5860121,373073.74402200035,4020380.2088610167,10.862302741361908
6156,36.320193200000006,139.5863157,373101.15992313775,4020390.870237292,40.60063842829908
6157,36.32050239999999,139.586314,373101.5086764415,4020425.1722498233,0.0
6158,36.31978869999999,139.58601680000004,373073.67161494395,4020346.391006743,66.3137310919579
6159,36.31973599999999,139.5864791,373115.08711021603,4020339.9383153073,19.669368180939074
6160,36.31808180000001,139.586212,373088.42701583274,4020156.7872116747,49.55649388105324
6161,36.3181735,139.58668950000003,373131.4420416071,4020166.3330687983,18.65517305919933
6186,36.32908489999999,139.58176350000002,372706.9739724981,4021383.217145273,131.67341978244067
6190,36.322095399999995,139.5633452,371042.22714254766,4020632.269558961,0.0
6191,36.3225567,139.5633584,371044.172262013,4020683.424471758,66.4277758397742
57,36.32485479999999,139.5895756,373401.34308589535,4020903.7122808355,266.7013119198809
6204,36.3289857,139.59000720000003,373446.76726190926,4021361.3913222724,84.2400923611866
6211,36.324188099999986,139.5792058,372469.41367100936,4020843.3808220993,109.60435142388285
6212,36.3228266,139.5790416,372452.4549782715,4020692.564979396,83.61946908711073
6213,36.3236366,139.5815347,372677.57141128334,4020779.1335451547,73.91744853306149
6214,36.3235976,139.5819357,372713.5042227584,4020774.2793359854,64.5177428131074
6215,36.3243312,139.5820537,372725.2898502768,4020855.502895748,26.55803642121426
6216,36.32294429999999,139.5818348,372703.38406046643,4020701.9410324083,57.155984098914544
6217,36.324288900000006,139.582321,372749.21535462956,4020850.45873662,116.03743291165665
