city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,vof_mean,tld
sano,0,1,123.47208798003354,74.08325278802012,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
sano,2,3,159.0808240675916,95.44849444055495,24,24,28853335.48069935,28853335.48069935,17731261.343408667,109.45223051486829,0.14716414201518171,0.25879069977510144,28853335.48069935,0.25879069977510144,24,0.14716414201518171,28853335.480699353,0.14716414201518171,28853335.480699353,0,17731261.343408667,0.14716414201518171,109.45223051486829,0.25879069977510144,0.0,True,0.0,0.0
sano,3,3,199.21653798545057,119.52992279127037,24,24,15230568.632636914,15230568.632636914,7555175.351438024,46.6368848854199,0.1932134598950547,0.18726840160065505,15230568.632636914,0.18726840160065505,24,0.1932134598950547,15230568.632636916,0.1932134598950547,15230568.632636916,0,7555175.351438024,0.1932134598950547,46.6368848854199,0.18726840160065505,0.0,True,0.0,0.0
sano,4,2,78.01019662534486,46.80611797520691,24,24,6493368.288929635,6493368.288929635,1319093.0167317113,8.142549485998218,0.0019143413895438921,0.013058167961832052,6493368.288929635,0.013058167961832052,24,0.0019143413895438921,6493368.288929635,0.0019143413895438921,6493368.288929635,0,1319093.0167317113,0.0019143413895438921,8.142549485998218,0.013058167961832052,0.0,True,0.0,0.0
sano,5,2,53.41369613388528,32.04821768033117,24,24,12743760.911385218,12743760.911385218,5949137.807744152,36.72307288730958,0.010386987608705097,0.06459615479650191,12743760.911385218,0.06459615479650191,24,0.010386987608705097,12743760.91138522,0.010386987608705097,12743760.91138522,0,5949137.807744152,0.010386987608705097,36.72307288730958,0.06459615479650191,0.0,True,0.0,0.0
sano,6,1,39.48021992074765,23.68813195244859,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
sano,7,1,49.57054438028701,29.742326628172204,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
sano,8,2,220.33613789145662,132.20168273487397,24,24,18091156.59746524,18091156.59746524,9668923.021714319,59.684710010582215,0.20109176377750748,0.3623439699123071,18091156.59746524,0.3623439699123071,24,0.20109176377750748,18091156.59746524,0.20109176377750748,18091156.59746524,0,9668923.021714319,0.20109176377750748,59.684710010582215,0.3623439699123071,0.0,True,0.0,0.0
sano,9,4,201.59418713838258,120.95651228302954,24,24,41622306.88026332,41622306.88026332,26820625.48890538,165.55941659818137,0.4452476036132948,0.5678749650335739,41622306.88026332,0.5678749650335739,24,0.4452476036132948,41622306.88026332,0.4452476036132948,41622306.88026332,0,26820625.48890538,0.4452476036132948,165.55941659818137,0.5678749650335739,0.0,True,0.0,0.0
sano,11,3,88.64102534779732,53.184615208678395,24,24,16338253.33837296,16338253.33837296,8588703.799521051,53.01669012050032,0.032812276858941974,0.07492940191318503,16338253.33837296,0.07492940191318503,24,0.032812276858941974,16338253.33837296,0.032812276858941974,16338253.33837296,0,8588703.799521051,0.032812276858941974,53.016690120500314,0.07492940191318503,0.0,True,0.0,0.0
