city,cluster,frequency_hz,terminals,demand_kw,transformer_sites,transformer_units,s1_npc_mean,s1_npc_std,s1B_npc_mean,s1A_npc_mean,s1B_length_mean,s1_capex_mean,s1_capex_trench_mean,s1_capex_conductor_mean,s1_capex_transformer_mean,s1_variable_loss_kwh_y_mean,s1_no_load_loss_kwh_y_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1_customer_min_pu,s1_representative_candidate,s1_representative_fixed_npc,s1_conductor_optimized_npc,s15_npc,s15_capex,s15_conductor_optimized_npc,s2_topology_fixed_conductor_npc,s2_npc,s2_w,s2_capex,s2_capex_trench,s2_capex_conductor,s2_capex_transformer,s2_variable_loss_kwh_y,s2_no_load_loss_kwh_y,s2_plkw,s2_length,s2_vdrop,s2_customer_min_pu,s2_upsize_m,edge_set_divergence,tld,all_primary_networks_feasible,delta_npc,delta_npc_B,routing_policy_delta_npc,routing_policy_savings_pct,combined_screening_savings_pct,ltp_pct,ltpB_pct
sano,0,50,6,365.19824186798076,6,13,166797338.27416834,0.0,166797338.2741683,166797338.2741683,217.20477679053386,116680929.50025542,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,217.20477679053388,6.165323581778221,0.005427356137674492,0.9774894474916321,c000_r00_A_steiner.csv,166797338.27416834,162283760.59568164,166797338.27416834,116680929.50025544,162283760.59568164,166797338.27416834,162283760.59568164,0,113062544.47320667,81330716.51858008,5711734.392714595,26020093.561912004,9411.747400822296,7927.799999999998,6.537505311778364,217.20477679053388,0.017765271011629728,0.9773660683428926,0.0,0.0,0.0,True,4513577.678486705,4513577.678486675,0.0,0.0,2.706025003269321,2.706025003269321,2.706025003269304
sano,1,50,4,308.86275135082724,4,11,118194972.73215242,1.4901161193847656e-08,118194972.73215245,118194972.73215245,81.54586617401014,81712763.54425417,53481879.92610153,5338646.654350254,22892236.963802386,7166.706680078371,6937.919999999998,81.54586617401014,5.080949939303741,0.002497161104105489,0.9791832593089702,c001_r00_A_steiner.csv,118194972.73215243,116458012.1248239,118194972.73215243,81712763.54425417,116458012.1248239,118194972.73215243,116458012.1248239,0,80231204.51690295,53481879.92610152,3857087.626999039,22892236.963802386,7613.670909817116,6937.919999999998,5.348437823430173,81.54586617401016,0.008172786719390415,0.9791265030528173,0.0,0.0,0.0,True,1736960.6073285192,1736960.607328549,-1.4901161193847656e-08,-1.2607271569507383e-14,1.4695723237440337,1.4695723237440337,1.4695723237440586
sano,2,50,12,324.36302326522895,12,16,410079661.1395598,4764663.031464609,405763084.87328124,414396237.4058385,1168.0895395768928,297917189.88113976,237952535.9424545,34458755.99040908,25505897.948276144,7322.134739714277,8024.159999999999,1186.3502396163633,5.297966606051741,0.04696955553981752,0.9777266158231394,c002_r00_A_steiner.csv,414335440.2496787,389514486.6289284,405750367.07638794,294687077.07807344,381719414.2613007,405750367.07638794,381719414.2613007,0,276029915.7399762,235183867.8255405,15340149.966159543,25505897.948276144,9253.051519336652,8024.159999999999,6.4535330013923975,1167.8924521702697,0.13099209662966654,0.974775530769715,0.0,0.0,0.0,True,28360246.878259122,24043670.611980557,4329294.063171864,1.0557202596054873,6.915789678388235,6.915789678388235,5.92554411880256
sano,3,50,5,403.8985635929966,5,14,188172818.52913204,2.9802322387695312e-08,188172818.5291321,188172818.5291321,262.692790885093,131806812.72245796,91903918.63276394,10767319.772127327,29135574.317566674,9626.930101899638,8830.079999999998,262.692790885093,6.7692824299057675,0.010550076246889865,0.9787530514528864,c003_r00_A_steiner.csv,188172818.52913207,182907535.47634444,188172818.52913207,131806812.72245796,182907535.47634444,188172818.52913207,182907535.47634444,0,127582191.47297595,91903918.63276395,6542698.5226453245,29135574.317566674,10360.842683957764,8830.079999999998,7.2084959298837,262.692790885093,0.03451742019561524,0.9785133780133991,0.0,0.0,0.0,True,5265283.052787602,5265283.052787662,-2.9802322387695312e-08,-1.583774033925174e-14,2.79811031898449,2.79811031898449,2.798110318984521
sano,4,50,6,408.9889407007124,6,15,210499560.6025072,1533351.183096776,211687267.4641466,209311853.74086776,334.37514609016847,148269050.8272502,105644630.25929451,12732438.37654908,29891982.191406682,9617.762712182366,9110.399999999998,329.2975350619632,6.7957961616201175,0.027408371886560253,0.9790900667046627,c004_r00_A_steiner.csv,209311853.7408678,202809751.95405298,209311853.7408678,147380468.8973143,202809751.95405298,209311853.7408678,202809751.95405298,0,141969746.2048939,104882988.6050637,7194775.408423531,29891982.191406682,10991.08506018591,9110.399999999998,7.617667498630083,324.219924033758,0.0898108054844725,0.9774863188949788,0.0,0.0,0.0,True,7689808.648454219,8877515.51009363,1187706.8616394103,0.5642324659680377,3.6531233730103225,3.6531233730103225,4.193693657837598
sano,5,50,1,130.4779860833122,1,4,36484444.87936458,0.0,36484444.87936458,36484444.87936458,0.0,24524449.805019047,15000000.0,1200000.0,8324449.805019047,3459.1631759650345,2522.8799999999997,0.0,2.3581527711239785,0.0,0.9783476162059711,singleton_co_located_source,36484444.87936458,36484444.87936458,36484444.87936458,24524449.805019047,36484444.87936458,36484444.87936458,36484444.87936458,0,24524449.805019047,15000000.0,1200000.0,8324449.805019047,3459.1631759650345,2522.8799999999997,2.3581527711239785,0.0,0.0,0.9783476162059711,0.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sano,6,50,9,374.23251959894196,9,17,196149868.5402669,941632.8691788134,196643324.67968354,195656412.4008503,228.13352236246786,138191489.63741735,97657513.57836612,10751252.26306102,29782723.795990188,8139.99781809803,9241.799999999997,226.05009052244077,5.9264206826562,0.015872679401099682,0.9805227776065276,c006_r04_A_steiner.csv,195744563.12670267,190470621.92204863,195386174.63214973,137627085.60604146,190140814.94817185,195386174.63214973,190140814.94817185,0,133248228.32634744,97173738.69432966,6291765.836027591,29782723.79599019,9261.606268162002,9241.799999999997,6.597652631801889,222.8249246288644,0.035951556775878336,0.9791589538583766,0.0,0.0,0.0,True,6009053.592095047,6502509.731511682,763693.9081171751,0.38934204432586667,3.0635012079355386,3.0635012079355386,3.30675335260109
sano,7,50,5,344.92781471197367,5,13,165228579.05698138,0.0,165228579.05698135,165228579.05698135,207.1824391316405,115961388.71434899,79827365.86974609,9079560.978291012,27054461.86631191,7480.439019563648,8199.359999999997,207.18243913164054,5.4127045605628155,0.005610630450450337,0.9802791276234746,c007_r00_A_steiner.csv,165228579.05698138,160948800.61640018,165228579.05698138,115961388.714349,160948800.61640018,165228579.05698138,160948800.61640018,0,112069514.3947514,79827365.86974609,5187686.658693414,27054461.86631191,9144.297424631814,8199.359999999997,6.408448592513219,207.18243913164054,0.01839950451213471,0.9779336413839483,0.0,0.0,0.0,True,4279778.4405812025,4279778.440581173,0.0,0.0,2.5902168166109214,2.5902168166109214,2.5902168166109036
sano,8,50,8,379.9552424846901,8,15,218393738.28829667,0.0,218393738.28829667,218393738.28829667,373.53374930843853,154685683.74296868,112280062.39626579,13838343.732710965,28567277.61399193,8675.066970466858,8759.999999999998,373.53374930843853,6.191635379729654,0.025824356589358406,0.9794281830017707,c008_r00_A_steiner.csv,218393738.28829667,210766624.58174908,218393738.28829667,154685683.74296868,210766624.58174908,218393738.28829667,210766624.58174908,0,148078125.7231276,112280062.39626579,7230785.7128698975,28567277.61399193,10875.265646424858,8759.999999999998,7.508354815720724,373.53374930843853,0.08479906376697093,0.9756778004325184,0.0,0.0,0.0,True,7627113.706547588,7627113.706547588,0.0,0.0,3.4923683097906437,3.4923683097906437,3.4923683097906437
sano,9,50,2,107.29077686299684,2,4,36636092.07339962,0.0,36636092.07339961,36636092.07339961,10.73160584393184,25077776.250292372,16609740.876589775,1468290.146098296,6999745.227604296,2782.463326487888,2172.4799999999996,10.731605843931838,1.9131785049928414,0.00022392181911830752,0.9784638295017254,c009_r00_A_steiner.csv,36636092.07339962,36335574.39748311,36636092.07339962,25077776.25029237,36335574.39748311,36636092.07339962,36335574.39748311,0,24780378.34166415,16609740.876589775,1170892.2374700801,6999745.227604296,2955.503329610554,2172.4799999999996,2.0167351236769986,10.731605843931838,0.0007342116686727836,0.97709810269201,0.0,0.0,0.0,True,300517.67591650784,300517.6759165004,0.0,0.0,0.8202776521972572,0.8202776521972572,0.820277652197237
sano,10,50,6,329.0827397871182,6,13,203393531.98291108,0.0,203393531.98291108,203393531.98291108,389.1485451626781,144493695.8262437,107122281.77440171,13628713.629066953,23742700.422775026,7906.301284097545,7323.360000000001,389.1485451626781,5.567563872539631,0.016780423759455793,0.976680093654291,c010_r00_A_steiner.csv,203393531.98291108,195316108.5113608,203393531.98291108,144493695.8262437,195316108.5113608,203393531.98291108,195316108.5113608,0,137729563.8343362,107122281.77440171,6864581.6371594705,23742700.422775026,9692.13598833681,7323.360000000001,6.6363052049628735,389.1485451626781,0.05505762424568137,0.9764022413692749,0.0,0.0,0.0,True,8077423.471550286,8077423.471550286,0.0,0.0,3.9713275996549107,3.9713275996549107,3.9713275996549107
sano,11,50,3,206.674657757261,3,7,98205818.3850801,0.0,98205818.3850801,98205818.3850801,148.20124819433315,68853005.59279163,48480187.22914997,5805031.204858328,14567787.158783337,5068.055811044912,4415.04,148.20124819433312,3.5370022747535343,0.00728028588754927,0.9778365497469372,c011_r00_A_steiner.csv,98205818.3850801,95205481.02319708,98205818.3850801,68853005.59279163,95205481.02319708,98205818.3850801,95205481.02319708,0,66457180.88045117,48480187.22914997,3409206.4925178764,14567787.158783335,5459.444451086194,4415.04,3.771230681033289,148.20124819433312,0.02381772508973275,0.977724775932407,0.0,0.0,0.0,True,3000337.3618830144,3000337.3618830144,0.0,0.0,3.055152343538578,3.055152343538578,3.055152343538578
sano,12,50,5,287.5294617105426,5,10,142061648.86128753,0.0,142061648.86128756,142061648.86128756,224.00109155961158,99848963.24677227,71100163.73394173,8600027.288990289,20148772.223840248,7007.468324995317,6132.0,224.00109155961152,4.893652982995097,0.011334768625960296,0.9782810387804491,c012_r00_A_steiner.csv,142061648.86128753,137547759.52093408,142061648.86128753,99848963.24677227,137547759.52093408,142061648.86128753,137547759.52093408,0,96199775.80850212,71100163.73394173,4950839.850720153,20148772.223840248,7700.618369936159,6132.0,5.308471947393525,224.0010915596115,0.037184632868309454,0.9750020142697933,0.0,0.0,0.0,True,4513889.340353459,4513889.340353489,0.0,0.0,3.177415844835738,3.177415844835738,3.1774158448357586
sano,13,50,5,173.21956815373053,5,7,118271522.31928527,0.0,118271522.31928527,118271522.31928527,244.67055363468128,84410429.46743782,62950583.045202196,8216763.840867032,13243082.581368582,3885.5581091643635,4064.640000000001,244.67055363468134,2.7893308612149617,0.00329500208266781,0.9794793949041397,c013_r00_A_steiner.csv,118271522.31928527,113181245.261675,118271522.31928527,84410429.46743782,113181245.261675,118271522.31928527,113181245.261675,0,80321551.64020051,62950583.045202196,4127886.013629741,13243082.581368582,4605.968328562198,4064.6400000000003,3.2204638075861314,244.6705536346813,0.010783828905390912,0.9774891683464325,0.0,0.0,0.0,True,5090277.057610273,5090277.057610273,0.0,0.0,4.303890706562974,4.303890706562974,4.303890706562974
sano,14,50,2,364.5478911483738,2,11,184749442.86318502,2.9802322387695312e-08,184749442.86318496,184749442.86318496,357.31875223657016,129973018.60520215,94847812.83548552,12232968.805914253,22892236.963802386,9868.603466365603,6937.919999999998,357.31875223657016,6.697913012421291,0.02317277245263981,0.9779161370740269,c014_r00_A_steiner.csv,184749442.863185,177729662.11412463,184749442.863185,129973018.60520215,177729662.11412463,184749442.863185,177729662.11412463,0,124699331.44090714,94847812.83548552,6959281.64161923,22892236.963802386,10011.209345093377,6937.919999999998,6.783256183589997,357.31875223657016,0.07584096321853863,0.9773903010491362,0.0,0.0,0.0,True,7019780.749060392,7019780.749060333,2.9802322387695312e-08,1.6131210966500844e-14,3.7996221478507217,3.7996221478507217,3.7996221478506906
sano,15,50,5,160.42327356349944,5,7,108218552.48079973,0.0,108218552.48079972,108218552.48079972,212.84091585421615,77143522.26274912,58176137.378132425,7421022.896355403,11546361.988261297,3871.194652384893,3617.8799999999997,212.84091585421615,2.7297349817081655,0.0022427772062132353,0.9768497351317301,c015_r00_A_steiner.csv,108218552.48079973,103610151.71251294,108218552.4807997,77143522.2627491,103610151.71251294,108218552.4807997,103610151.71251294,0,73394172.04342227,58176137.37813242,3671672.677028549,11546361.988261297,4634.222004936435,3617.8799999999997,3.186372355539857,212.8409158542161,0.007380237634744403,0.975602972364717,0.0,0.0,0.0,True,4608400.768286794,4608400.7682867795,2.9802322387695312e-08,2.7539014064139213e-14,4.258420264034138,4.258420264034138,4.258420264034125
