city,recon,npc,capex,length_m,pl_kw,vdrop_pct,eloss_kwh_y
kudamatsu,r00_A_steiner.csv,1938524483516.6077,6010550372.982488,37102.1627961882,1089562.8153770322,8075.367208269179,3340599591.9459805
kudamatsu,r01_B_incremental.csv,569401991386.449,6351372975.820378,39206.00602358258,316551.0506262509,2609.5106977442088,970545521.2200853
kudamatsu,r02_A_steiner.csv,1021119153791.976,5983446448.21408,36934.85461860543,571786.469464905,4000.5244444446575,1753097315.3793986
kudamatsu,r03_B_incremental.csv,340162492619.5484,6374218240.430468,39347.026175496714,187147.5693149179,1449.2550203178737,573794447.5195383
kudamatsu,r04_A_steiner.csv,1082743016182.7783,6014351323.378865,37125.62545295596,606544.3850592333,4182.662552418929,1859665084.5916092
kudamatsu,r05_B_incremental.csv,473475282585.736,6384273548.368703,39409.095977584584,262383.6091191999,2210.031238305813,804468145.559467
kudamatsu,r06_A_steiner.csv,1731510781532.7544,5983253534.579318,36933.663793699496,972742.0113977124,7080.856779431911,2982427006.9453864
kudamatsu,r07_B_incremental.csv,377766814885.5698,6419411198.952305,39625.99505526114,208337.64564838144,2132.0296209740077,638763221.5579375
kudamatsu,r08_A_steiner.csv,1817026586725.8652,5997620638.051507,37022.349617601896,1020997.4584722054,7128.908093913245,3130378207.6757817
kudamatsu,r09_B_incremental.csv,376514362339.3805,6396418322.400841,39484.06371852371,207648.22026441948,1821.562999250706,636649443.3307102
kudamatsu,r10_A_steiner.csv,837578620083.5258,5999911023.745155,37036.48780089602,468181.0005433966,3166.2016168805117,1435442947.666054
kudamatsu,r11_B_incremental.csv,404467908582.31244,6404849422.520723,39536.10754642422,223419.2008906299,1829.110922374735,685003269.9306713
