node,p_kw
14,52.20328500744288
15,20.369793339385797
16,154.95515219965728
17,25.316041245536216
18,88.78294865928538
19,116.10546174326072
26,9.2275626827093
27,16.43781900889681
29,6.035309390602509
35,62.94114483260621
37,30.515164715019807
265,2.417251142787294
278,41.052533565673265
285,17.227832800290905
345,287.3398167528183
358,5.0172803163244115
394,26.937581661278774
514,66.76281005363795
525,3.3338306189638303
526,9.646787320623721
544,10.245265799120183
574,30.74641087053976
611,10.78338091129132
632,17.23872541614733
633,76.15326001081259
662,4.008300642374289
682,4.710081241987958
696,8.211343677201706
709,144.59566044506914
711,6.428970776182178
720,18.451971220494073
728,12.960911141500475
741,54.848597711426265
782,109.33218840477299
797,24.442710736520674
802,8.425153440870368
805,187.1653863231047
806,17.889487748398892
814,13.12349317892407
822,3.770441988403157
823,30.16555910478811
824,11.678854197295914
830,8.195287921777222
852,4.74833901323543
860,15.261838914573355
879,29.23388233210484
884,5.761667001834292
888,45.07974487352061
892,45.7831490497832
899,138.34739107802451
911,14.690352509046988
920,77.45247397302091
922,12.842394625400175
950,112.16575313740294
955,43.32444256111239
963,19.889597973111204
970,33.81922436156747
985,31.8805195706272
987,46.73206785697214
1008,18.65878302292567
1012,11.48626370933257
1014,39.94769542207211
1028,5.651355605437491
1036,20.851863292162037
1048,28.417520566258343
1082,9.386266785110854
1088,21.75977614638636
1092,7.648408362137547
1096,13.95944793205097
1104,4.780400157524608
1109,6.060143634202329
1115,66.97919812258951
1119,179.35915732765682
1122,20.150992561136725
1124,21.204888494156524
1125,8.306776145656036
1129,24.511648197860705
1131,37.940235167965305
1135,12.321753486360517
1138,59.00701698016278
1141,104.54662169457431
1155,38.884503473811094
1156,14.313989565065468
1161,6.0563725472728285
1163,40.24472028004531
1164,7.506166427237919
1167,71.51501942013874
1180,6.170754836337809
1183,27.140817265120923
1186,11.231665184036764
1196,20.080158620941635
1203,34.68926841575034
1207,4.788646661317823
1208,4.487517574270371
1214,35.315244804585014
1228,9.326980030142822
1239,26.952721430769476
1247,13.79498099963058
1268,11.889430496340154
1271,21.655565719651555
1289,101.75543844556255
1302,3.4349844322620156
1316,28.571183212673986
1318,50.981825671954674
1321,8.80357291041667
1322,5.542351512894266
1324,12.901114678820463
1328,32.64269728484186
1332,20.686591667219716
1333,74.97933738496845
1335,109.74648873872789
1341,53.10544047656695
1344,10.45705400451102
1345,13.625150322863771
1346,12.855805460055494
1354,20.444851828135473
1358,10.081125856146018
1363,35.87772297227441
1365,9.016535056382613
1369,21.53627102622622
1376,20.701587951226927
1378,6.951562666593792
1385,12.387805260382612
1388,57.51438682151741
1395,107.0699479019018
1399,68.15647364249428
1416,50.80880388503089
1418,20.671462169588935
1419,11.015349340822944
1420,44.2081386035668
1425,6.284731320098171
1427,20.722796602013524
1431,70.85599964600573
1436,79.53505161962369
1438,202.0526449246891
1443,5.790352455037838
1447,6.791208296798361
1451,34.57190489971783
1456,29.69038076491055
1461,38.832530877091365
1464,139.97221595762915
1466,5.62403969168517
1468,65.74630952133262
1471,10.49112060454003
1476,12.297305850798695
1480,13.607070999836917
1487,31.725686441552636
1490,7.697004024876487
1492,24.673833596433546
1495,3.8290509960251726
1498,297.2636818936399
1500,5.291083289326573
1501,51.39436616984919
1504,3.157672726685976
1511,16.36993212466318
1520,49.78233870666671
1527,27.034025457539883
1530,96.53955850274056
1534,12.066353404575866
1545,32.35753180751762
1555,11.515057249144766
1556,30.219710614115034
1567,83.55579054188645
1569,12.492652724343369
1571,48.239207218956366
1576,15.179355875610941
1584,44.895073831903375
1588,7.949350276393845
1594,11.36789566351453
1598,21.173770198102286
1605,35.57976121172253
1608,41.48906086792401
1615,29.393798995217768
1619,100.49651704452626
1628,14.106351505461536
1631,38.60274823711651
1638,42.81587531227688
1646,24.215740840706843
1649,48.890863350071044
1651,47.85110969946402
1658,12.9010527246785
1660,17.647959480673844
1664,24.52703679751032
1668,1058.7532394970963
1669,45.125939147307285
1675,25.422299476894562
1681,32.18339908332676
1689,50.11943250179112
1690,34.62614503485295
1697,79.24884023462025
1699,9.983264090170819
1705,9.493019976610524
1711,21.557564293504782
1712,92.46792920834389
1718,8.006216956947814
1720,32.4305054875526
1722,23.875852184557083
1731,6.000701858736133
1734,283.0324520535938
1735,20.306482682472
1737,97.38141685995926
1741,42.24432682224782
1742,48.80917788131697
1745,59.973380387482116
1746,36.894143230419076
1748,5.443744714891965
1749,69.98493309138505
1750,6.888175817224414
1751,41.16153213976813
1774,373.32906853118504
1782,14.2352641098321
1785,45.36993602768575
1786,37.23245796956326
1787,19.550633728122293
1788,13.232160170132271
1789,68.74693449309045
1791,12.466391885623715
1792,13.452716433748254
1794,9.4041472793846
1798,56.7392171351872
1806,49.50445838676754
1818,11.267005062533165
1819,10.89351762942561
1837,19.14040667063464
1841,407.76307987126347
1848,142.1307342485259
1850,740.6499611355118
1852,85.99999188940119
1857,17.082358274589602
1858,27.873427860486846
1861,680.3852878205396
1862,9.956776952678348
1863,226.32968413574747
1864,22.492110177741683
1865,20.198320281046136
1866,7.668056584324387
1868,21.161707375066104
1869,303.91482188762524
1873,185.33255861999072
1900,8.629472167789434
1901,15.308025999089118
1902,56.30911484494956
1956,11.494063474277034
1962,4.501384136830242
1963,11.373981965766378
1964,20.697753956277257
1966,3.0863334205001327
1968,10.192296826565707
1970,22.24150913236932
1971,7.707012086714
1972,8.10546878177515
1973,102.146150545433
1974,7.609679932922944
1976,42.12115235821872
1979,18.73655141814463
1980,35.194644120139415
2020,42.807661964091494
2022,26.346505489065144
2024,16.524047537704426
2025,14.549632244818238
2028,255.36417901545053
2029,47.84623240964019
2031,75.97396973623766
2032,4.349466950102095
2033,16.809818003864926
2035,11.861600399996874
2037,14.270855426020514
2038,3.834272203546637
2043,8.28159271649685
2045,20.626697659068974
2048,5.071605533587169
2051,15.432119963641703
2059,20.642127730389834
2060,20.57869895245463
2061,10.071059703768517
2062,6.700807098765462
2063,3.874813035832134
2065,39.78253043628187
2066,46.52058710834937
2071,60.91828658199074
2086,14.820543360734693
2115,32.1223509542665
2116,21.26935501430393
2117,15.970760593665737
2120,6.1243197418856425
2121,11.836253824171616
2122,53.272983224492904
2128,20.292747837805607
2129,3.552610484628541
2130,5.403487389753664
2132,12.41653876150555
2133,15.507523469853338
2134,6.426501144767582
2136,15.166778966241749
2141,243.99633905985297
2146,42.49265343311764
2147,9.250922971468839
2153,3.220368714830587
2155,36.51340036917627
2391,80.1643845790877
2394,123.30058854969057
2398,41.002783451323516
2400,93.41578739486447
2404,28.36484729183218
2408,20.96166585352162
2409,21.62650485992392
2411,10.87863365511553
2414,24.011377266388536
2415,20.314592426290698
2416,32.01012923944421
2423,7.32593340306305
2424,38.960141653499086
2425,22.53308789425222
2426,7.543594073455969
2427,69.60843586741025
2428,14.157130234026756
2431,8.307783747582405
2660,6.3241265311635795
2661,14.68217452596834
2749,998.3805424064366
2778,41.76650075915266
2793,43.64179018984418
2795,13.377793540476112
2802,2.86333959244459
2803,47.32142011461464
2806,83.76561092803526
2820,42.60945538508124
2828,63.64904622486635
2830,169.01434825231706
2834,9.167316284500222
2841,29.345831155106364
2844,8.220638224896941
2864,11.04851262554832
2877,143.98200825740292
2885,8.893657290684061
2888,137.75525977170994
2889,4.650756728868785
2894,5.72773021934974
2909,147.64220316305
2915,3.060854834879286
2926,34.60608778615612
