city,cluster,pv_kwp,pen,gen_kwh_y,eloss_delta_kwh,capex_dg,npc_s2,npc_s3,delta_npc_s3
kudamatsu,0,14.75578718862092,0.19339235422370574,16803.890450401504,0.19051968380624462,3688946.79715523,42144489.03170026,37401910.792983234,4742578.238717027
kudamatsu,1,258.05375522423554,0.9000000000000001,293871.61644935946,574.2377503381003,64513438.80605888,42312217.57750615,-40957361.67173648,83269579.24924262
kudamatsu,2,166.51832526656779,0.7467180908853626,189631.0688135674,141.49177281630136,41629581.31664195,52600907.4218169,-999373.6916915625,56294068.823701985
kudamatsu,3,72.53010509081183,0.7409036518807312,82597.28367741652,40.08241344908589,18132526.27270296,68199376.81458469,44865244.39545075,23334132.419133954
kudamatsu,4,77.07575035244537,0.8674435836996511,87773.86450136479,13.042556525114748,19268937.58811134,106315191.35094763,81535726.94297564,29639777.03907232
kudamatsu,5,132.06208962860444,0.7690692647957659,150392.30766905475,49.32990382334975,33015522.40715111,16496960.766000804,-25975926.44417119,42472887.210172
kudamatsu,7,142.51758996568208,0.8763059767789035,162299.03145291875,97.81751277171634,35629397.49142052,44597446.021382645,-1263828.8375980407,45861274.85898068
kudamatsu,9,59.043171495724955,0.8839891421983245,67238.36369933157,6.1871273762169565,14760792.873931238,38832964.3692598,19853081.193100072,18979883.176159717
kudamatsu,10,45.36634596353851,0.9346322681931585,51663.19478327765,4.934114752590887,11341586.490884626,29304945.775841005,14721479.604866829,14583466.170974173
kudamatsu,11,19.18978429389811,0.8999999999999997,21853.32635389117,1.00760005913944,4797446.073474527,17155131.369096342,10987006.873431638,6168124.495664705
kudamatsu,12,71.51993916360821,0.8005787694835926,81446.90671951704,21.209128029494053,17879984.790902052,22158419.3330948,-840142.3304502442,22998561.663545046
kudamatsu,13,174.93916961209504,0.8658559269385728,199220.72635425383,247.58794225185443,43734792.40302376,65786319.61136137,9418293.294335619,56368026.31702576
kudamatsu,14,220.7819334064874,0.8136443663641449,251426.46576330788,548.859722794411,55195483.35162185,106088162.15513864,34812305.88850066,74435140.77701838
kudamatsu,18,126.65308221567098,0.9000000000000002,144232.5300272061,68.7352320400912,31663270.553917743,21101765.70296066,-19643895.612374216,40745661.31533488
kudamatsu,19,41.84761751312391,0.853217182191048,47656.06682394551,0.4860986753948189,10461904.378280977,24225910.07155024,10775923.614552882,13449986.456997357
kudamatsu,20,48.76538458814767,0.5710771358038783,55534.01996898257,7.612896689669469,12191346.147036918,39476322.1146802,23798866.586300198,15677455.528379995
kudamatsu,21,40.30741812693629,0.9,45902.08776295505,17.820037200101353,10076854.531734074,114257956.74525476,101292969.25083381,12964987.494420946
kudamatsu,22,73.55395504194775,0.7998065038747176,83763.24400177009,114.81250910347171,18388488.760486938,137606049.46625373,113899670.34926328,23706379.116990447
kudamatsu,23,103.42881037177844,1.1956956622323902,117784.72925138129,51.718810636811554,25857202.59294461,95090357.88029748,61818744.920544505,33271612.959752977
kudamatsu,24,96.4612495196863,0.8999999999999999,109850.07095301877,28.668403636125873,24115312.379921578,28192655.12797922,-2826283.416928038,31018938.544907257
kudamatsu,25,131.78581620086658,0.8320278067220658,150077.68748954686,63.571745735687614,32946454.050216645,20872195.35734792,-21520128.280088328,42392323.63743624
kudamatsu,26,140.27358162283468,0.8999999999999999,159743.55475208414,538.9187368548983,35068395.40570867,157744091.27864915,112349135.47995645,45394955.79869267
kudamatsu,27,78.31107423664524,0.8999999999999998,89180.6513406916,66.50372006522878,19577768.55916131,279503413.53194344,254296025.96683586,-199089316.46759358
kudamatsu,28,81.12719653730042,0.803409850264282,92387.65141667772,91.91962749545507,20281799.134325106,208073150.51372916,181945982.15734082,28266031.266306132
kudamatsu,30,186.2247707891467,0.7789663278404136,212072.76897468025,111.50268801877371,46556192.69728667,95217248.66816016,35300701.63831274,66176932.88205278
kudamatsu,31,105.62694258281978,0.7934033098679641,120287.96221331517,877.6302279208567,26406735.645704944,186530627.06839275,152075271.79963195,34584347.66765377
kudamatsu,33,31.067770382536576,0.8044445993267152,35379.97691163265,0.7929854760955815,7766942.595634144,17314655.57404913,7329104.064117391,9985551.509931736
kudamatsu,34,23.304246052171653,0.712999172150418,26538.87540421308,3.0423940595393297,5826061.513042913,43897732.5226354,36406055.844773546,7491676.677861854
kudamatsu,35,116.21112268981729,0.8999999999999997,132341.22651916393,60.46970895332993,29052780.672454324,57795821.44340018,20410952.68998374,37384868.753416434
kudamatsu,36,81.82165991750584,0.5961322713876013,93178.50631405564,35.09089386374501,20455414.97937646,48206109.13761517,21888581.80136788,28896829.526642174
kudamatsu,37,92.77411514759167,0.8999999999999997,105651.16233007741,18.664413543669326,23193528.786897916,84817010.77417281,54988887.75554826,29828123.018624537
kudamatsu,38,44.804104836000036,0.6280370865641959,51022.914587236846,10.002554774643087,11201026.209000008,43367803.48592806,28962111.12249608,14493459.482058298
kudamatsu,39,105.19948751872397,0.8309820499712053,119801.17638632286,0.9588144920119781,26299871.87968099,16521163.251471004,-17290207.67685011,33811370.928321116
kudamatsu,40,32.45501717677066,1.0778625792830487,36959.773560906426,13.108473704447476,8113754.294192665,110604898.54834464,100166373.11153072,10517419.726946875
kudamatsu,41,64.86102597017445,0.9479217314521522,73863.73637483467,2.901218277689381,16215256.492543614,65884203.197262265,45036376.92307869,20847826.27418357
kudamatsu,43,94.61961029600656,0.7998816231480962,107752.81220509227,65.13569682121715,23654902.57400164,122324801.56707108,91876687.3151345,30448114.25193654
kudamatsu,45,189.25994085346576,0.9351426621251462,215529.22064392682,591.3972879030243,47314985.21336644,107441085.79136594,46271727.35681015,61169358.43455577
kudamatsu,48,149.29721008119097,0.8467600435008177,170019.66284046028,168.72005025569183,37324302.52029774,48384360.61545783,303162.6841043979,48777859.8973074
kudamatsu,51,43.35305820092545,0.71960071535148,49370.46267921391,16.200353014247725,10838264.550231364,67083576.23557092,53140664.62700003,13942911.608570896
kudamatsu,52,18.502780692761625,0.8999999999999999,21070.96665291694,0.5622193830235815,4625695.1731904065,12800861.73650993,6853795.6211795695,5947066.115330359
kudamatsu,53,71.5471588595951,0.9,81477.9045093069,214.87180176151196,17886789.714898776,153044326.4449642,129925104.73476496,-111570772.74673435
kudamatsu,54,298.1678928236993,0.6237302710230299,339553.59634762874,1776.0122451821917,74541973.20592482,174117550.47338396,77260932.61004516,105460401.16688555
kudamatsu,55,7.1910005537122625,0.2881328513619423,8189.111430567525,0.1921345264255594,1797750.1384280657,39425364.48805748,37114086.28086342,2311278.2071940675
