city,cluster,pv_kwp,pen,gen_kwh_y,eloss_delta_kwh,capex_dg,npc_s2,npc_s3,delta_npc_s3
kudamatsu,0,74.12190739841884,0.7504433553916773,84410.02814531937,521.5326987467697,18530476.84960471,213149062.3160287,189025113.81181157,-101419973.78840066
kudamatsu,1,251.20152433246685,0.8741770528112508,286068.29590981326,1834.678260669447,62800381.08311671,167691295.52847967,85895633.97487518,85461464.14483264
kudamatsu,2,346.0535571013125,0.9291202289381031,394085.79082697467,4371.065101394644,86513389.27532813,282046756.90000033,168300221.00396588,135039555.72450283
kudamatsu,3,273.67890674185,0.8584675649812242,311665.5389976188,562.606998815344,68419726.6854625,70627104.42656738,-17657633.14081052,90598985.76499753
kudamatsu,5,98.66631661265939,0.7005689006870073,112361.2013584965,657.0766186969468,24666579.153164845,158189475.05449775,126098696.3862918,34359909.85350752
kudamatsu,6,351.2795575301108,0.8251788733454976,400037.1601152902,2698.2301939268873,87819889.38252771,115090474.27520384,630996.6023743749,149420104.89987463
kudamatsu,7,30.01522458911959,0.7603686406847655,34181.33776208939,109.14098279706513,7503806.147279898,92686570.52090664,82976693.26182131,10046801.73024781
kudamatsu,8,192.01902818496222,0.6589989245742703,218671.26929703497,1321.1864261144365,48004757.04624055,240254842.10705447,177776998.09315288,68565338.717621
kudamatsu,9,63.890015369020674,0.8862951482447518,72757.94950224075,153.3000052461109,15972503.842255168,142376056.85144755,121753399.78826493,21414764.970551997
kudamatsu,10,310.4339840577612,1.0349834127458222,353522.2210449785,9482.264628301527,77608496.01444031,312931989.27632153,207679877.82148635,78540125.01893717
kudamatsu,11,173.53176081405934,0.9088036967966743,197617.96921505078,293.5553313444552,43382940.20351484,69955930.0414103,14013677.776611164,55942252.26479915
kudamatsu,12,96.34748930871221,0.808473083420757,109720.52082476146,179.1372361062431,24086872.327178054,64104998.12462053,33035670.470011353,31703883.349337637
kudamatsu,13,144.8440679938778,0.53557498024639,164948.424631428,1340.89731226426,36211016.99846945,121320442.37969768,73993106.42942691,42917869.37211721
kudamatsu,14,139.8439808611725,0.7898998781749587,159254.32540470327,456.66406784650326,34960995.215293124,35073764.516312845,-10135586.368323505,45209350.88463635
kudamatsu,15,1197.4013012170738,0.8134676224173647,1363600.6018260038,5228.893090962178,299350325.3042684,139635573.15471983,-248227425.05816746,447153522.28047514
kudamatsu,17,132.23644939678593,0.8465771396990338,150590.86857305982,218.8586905609668,33059112.349196482,57597752.58912233,14970861.162867606,42626891.42625472
kudamatsu,18,92.21677467502488,0.7588547332217787,105016.46299991834,1632.069660189285,23054193.66875622,303293823.55258954,272712490.8213308,31691691.833661497
kudamatsu,19,240.32951099393313,0.86549465171006,273687.24711989105,1925.1489493597091,60082377.748483285,147585406.72462732,69231699.18284047,88581608.97341418
kudamatsu,20,289.1934032406424,0.8266618689760887,329333.4476104436,6886.366149420515,72298350.81016059,404510748.0924163,307585389.0921622,154549763.28165853
kudamatsu,22,235.19103218645532,0.7948557983660516,267835.5474539353,1407.0379335778543,58797758.04661383,109846493.48124295,33443678.901033044,81867601.90349035
kudamatsu,23,363.3143764938685,0.5805020278055273,413742.41195121745,4364.137017815025,90828594.12346713,191902476.54094708,72612365.78440046,203968802.10106057
kudamatsu,24,60.265166748485726,0.9291576643570588,68629.97189317555,64.15900819190381,15066291.687121432,74015208.83439854,54609079.68040546,19406129.153993063
