city,cluster,frequency_hz,terminals,demand_kw,transformer_sites,transformer_units,s1_npc_mean,s1_npc_std,s1B_npc_mean,s1A_npc_mean,s1B_length_mean,s1_capex_mean,s1_capex_trench_mean,s1_capex_conductor_mean,s1_capex_transformer_mean,s1_variable_loss_kwh_y_mean,s1_no_load_loss_kwh_y_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1_customer_min_pu,s1_representative_candidate,s1_representative_fixed_npc,s1_conductor_optimized_npc,s15_npc,s15_capex,s15_conductor_optimized_npc,s2_topology_fixed_conductor_npc,s2_npc,s2_w,s2_capex,s2_capex_trench,s2_capex_conductor,s2_capex_transformer,s2_variable_loss_kwh_y,s2_no_load_loss_kwh_y,s2_plkw,s2_length,s2_vdrop,s2_customer_min_pu,s2_upsize_m,edge_set_divergence,tld,all_primary_networks_feasible,delta_npc,delta_npc_B,routing_policy_delta_npc,routing_policy_savings_pct,combined_screening_savings_pct,ltp_pct,ltpB_pct
kudamatsu,0,60,3,98.77082242900606,3,5,266253279.11692512,0.0,266253279.11692515,266253279.11692515,962.8312685230125,195839272.80426416,163174690.27845192,25570781.71307532,7093800.812736931,2376.530312632659,1970.9999999999998,962.8312685230126,1.6472459485404638,0.02604422848666714,0.9772019778659019,c000_r00_A_steiner.csv,266253279.11692512,246878060.458634,266253279.11692512,195839272.80426416,246878060.458634,266253279.11692512,246878060.458634,0,181151021.39167404,163174690.27845192,10882530.300485205,7093800.81273693,3078.7072344371504,1970.9999999999998,2.0674670906342727,962.8312685230127,0.08294226659424539,0.9747584716621623,0.0,0.0,0.0,True,19375218.65829113,19375218.65829116,0.0,0.0,7.276987807456262,7.276987807456262,7.276987807456273
kudamatsu,1,60,10,287.3577194970198,9,13,276114281.93710613,0.0,276114281.93710613,276114281.93710613,714.5510417223423,199608402.0507513,155932656.2583514,21763776.043058563,21911969.749341357,6644.930228983137,5983.079999999999,714.5510417223426,4.659690322975959,0.015480120536598075,0.9749970216573456,c001_r00_A_steiner.csv,276114281.93710613,261305835.82266068,276114281.93710613,199608402.0507513,261305835.82266068,276114281.93710613,261305835.82266068,0,187972131.89856517,155932656.2583514,10127505.89087242,21911969.749341357,8137.257311722613,5983.08,5.5527806134895386,714.5510417223426,0.0492945447749662,0.9734447391870275,0.0,0.0,0.0,True,14808446.114445448,14808446.114445448,0.0,0.0,5.363158330874947,5.363158330874947,5.363158330874947
kudamatsu,2,60,13,372.4529359314662,13,19,424074337.4303525,0.0,424074337.4303525,424074337.4303525,1153.2955552424667,307713188.82928723,244244333.28636995,34532388.881061666,28936466.661855552,8631.486004331451,8103.0,1153.2955552424667,6.0905541418047315,0.04275945686837682,0.9747195722603987,c002_r00_A_steiner.csv,424074337.4303525,400103231.420889,424074337.43035257,307713188.8292873,400103231.42088914,424074337.43035257,400103231.42088914,0,288858816.1464594,244244333.28637,15678016.198233807,28936466.661855552,11089.62758436282,8103.0,7.561640744216127,1153.295555242467,0.13624253981672815,0.9723302008331149,0.0,0.0,0.0,True,23971106.00946337,23971106.00946337,-5.960464477539063e-08,-1.4055235017652946e-14,5.652571705874619,5.652571705874619,5.652571705874619
kudamatsu,3,60,8,318.79935585899005,8,12,175564780.55062822,2765556.7652944424,176566000.77054074,174563560.3307157,318.863100589432,124255439.81567915,92192772.32043894,11465462.053406486,20597205.441833727,8639.659638028003,5597.64,314.61848213625956,5.809445692039955,0.011143093162762383,0.9748775730353206,c003_r00_A_steiner.csv,174563560.3307157,167898105.2846222,174563560.33071566,123512631.58637396,167898105.2846222,174563560.33071566,167898105.2846222,0,118527920.64455122,91556079.55246305,6374635.650254423,20597205.441833727,8720.470990096344,5597.64,5.857807632750047,310.3738636830871,0.012243156084161566,0.9748775730353206,0.0,0.0,0.0,True,7666675.266006023,8667895.485918552,1001220.2199125588,0.5702853481047889,4.366864038425496,4.366864038425496,4.909153205085649
kudamatsu,4,60,2,109.85476534399825,2,4,216341176.35402846,0.0,216341176.35402846,216341176.35402846,766.3120152910216,158629052.48094782,129946802.29365325,20357800.38227554,8324449.805019047,2485.59698576809,2207.52,766.3120152910218,1.7395174214785964,0.011746290330406875,0.9784879222544253,c004_r00_A_steiner.csv,216341176.35402846,201077019.9267011,216341176.3540285,158629052.48094785,201077019.9267011,216341176.3540285,201077019.9267011,0,147110496.8787598,129946802.29365325,8839244.780087497,8324449.805019047,2914.986414120615,2207.52,1.9964875815368412,766.3120152910216,0.037275617731555744,0.9781998837825979,0.0,0.0,0.0,True,15264156.427327365,15264156.427327365,-2.9802322387695312e-08,-1.3775612617972328e-14,7.055594632779732,7.055594632779732,7.055594632779732
kudamatsu,5,60,9,140.83742015368233,8,8,606906898.876864,4563940.748567993,609680452.888199,604133344.865529,2320.3424134301295,447958933.12572336,376285881.68143463,60114313.61357245,11558737.830716245,2998.318494413954,3284.9999999999995,2308.5725445428975,2.169358064126797,0.01405977469113912,0.9771064420528026,c005_r16_B_incremental.csv,606612907.2956517,560139330.0444431,604133344.8655288,445899206.0704578,557869686.2830659,604133344.8655288,557869686.2830659,0,411184035.02380127,374520401.3483499,25104895.844735086,11558737.830716245,3843.382021197801,3284.9999999999995,2.675090379359175,2296.802675655666,0.04105764071962106,0.9738673005100575,0.0,0.0,0.0,True,49037212.59379804,51810766.60513306,2773554.0113351345,0.456998267191862,8.079857501133343,8.079857501133343,8.498019964342523
kudamatsu,6,60,6,425.70110418111994,5,16,243732717.76853883,6061242.32006414,247232164.84715188,240233270.68992576,454.4982678993726,173054633.85484326,125951907.00076215,15791984.500127023,31310742.353954066,10118.258681019894,8357.039999999997,439.67938000508093,7.009320371412947,0.05480381920393263,0.9779108441290371,c006_r00_A_steiner.csv,240233270.6899258,231780474.8196169,240233270.6899258,170461328.4733422,231780474.8196169,240233270.6899258,231780474.8196169,0,163365493.54395244,123729073.8166184,8325677.37337996,31310742.353954066,12015.454806298187,8357.039999999997,8.144706479648459,424.8604921107893,0.10122135059991981,0.9726095419709662,0.0,0.0,0.0,True,11952242.948921919,15451690.027534962,3499447.078613043,1.4357723947165346,4.903831975595654,4.903831975595654,6.249870455605067
kudamatsu,7,60,5,39.47456928535186,5,5,134089206.23564951,523943.4353512687,134400071.38746908,133778341.08382988,424.90683570538255,98710550.83428685,82288159.83800893,12089693.306334818,4332697.68994311,638.4598686365854,1357.7999999999997,423.58773225339274,0.5370893664378089,0.0028564034561592657,0.983584845115392,c007_r20_B_incremental.csv,133935594.55547878,124749890.85900156,133694786.68877679,98417660.52414854,124529373.55956858,133694786.68877679,124529373.55956858,0,91517464.16121815,82037111.00074752,5147655.470527539,4332697.68994311,858.6694743555028,1357.7999999999997,0.6688748597254905,421.9140733383167,0.009088254732873655,0.9792733424703731,0.0,0.0,0.0,True,9559832.676080927,9870697.8279005,394419.5468727201,0.29414712633883733,7.129457280312628,7.129457280312628,7.344265316231672
kudamatsu,8,60,9,291.37988094443597,8,13,357674699.2672411,4298745.071892431,361965878.37064403,353383520.1638382,1088.1462839742237,259966632.1489543,209237479.77689716,30647913.296149522,20081239.075907685,7523.233615348869,5580.119999999998,1069.916531845981,5.1393151913851645,0.028930831493047055,0.9747854756681908,c008_r00_A_steiner.csv,353810105.5219854,332117731.7472823,353078816.3365903,256550183.09123057,331447982.5959679,353078816.3365903,331447982.5959679,0,240235207.7991704,206309094.87027678,13844873.852985956,20081239.075907685,8122.016588367498,5580.119999999998,5.497659729598674,1050.3939658018448,0.09100262944903906,0.9743330443653098,0.0,0.0,0.0,True,26226716.67127323,30517895.774676144,4595882.93065083,1.2849337512735166,7.3325613259767115,7.3325613259767115,8.431152657827758
kudamatsu,9,60,7,72.08661301548425,6,6,198153527.19526935,3599775.0896941614,199763395.55612266,196543658.83441606,662.7316121131086,145682914.59921116,120885226.32003276,18197537.720005456,6600150.559172958,1393.1100514634209,1997.28,655.9015088002183,1.0617133829233445,0.005800112169502178,0.9801334124051445,c009_r00_A_steiner.csv,196543658.83441606,182898991.79358742,196543658.83441606,144487646.51945534,182898991.79358742,196543658.83441606,182898991.79358742,0,134100193.90885192,119860710.8230992,7639332.526579764,6600150.559172958,1988.6850422787725,1997.28,1.4181380888219255,649.0714054873281,0.008975198154406495,0.9749007675336855,0.0,0.0,0.0,True,15254535.40168193,16864403.762535244,1609868.3608532846,0.8124348749375773,7.698341592804163,7.698341592804163,8.442189178646226
