電柱番号,設置付近住所,町会名,管理番号,緯度,経度
伊保内064,船津川町18,船津川町,041-058,36.27133702,139.5909849
伊保内029,船津川町18,船津川町,041-059,36.27135473,139.589322
舟津川054,船津川町1803,船津川町,041-060,36.27388874,139.5592639
舟津川056,船津川町1808,船津川町,041-061,36.27382685,139.55853
舟津川259,船津川町220-3,船津川町,041-063,36.27095832,139.5823005
舟津川006,船津川町233,船津川町,041-066,36.27115071,139.580786
大古屋638,船津川町2343-2,船津川町,041-067,36.28235014,139.5573908
大古屋635,船津川町2367,船津川町,041-070,36.28317199,139.5569106
大古屋636,船津川町2367,船津川町,041-071,36.28314279,139.5574185
舟津川604,船津川町240,船津川町,041-072,36.27332491,139.5799949
舟津川262,船津川町240,船津川町,041-073,36.27226337,139.5811812
舟津川235,船津川町2462,船津川町,041-074,36.27368267,139.5572525
舟津川069,船津川町281,船津川町,041-075,36.27183093,139.5800264
舟津川601,船津川町281-2,船津川町,041-076,36.27226975,139.5797235
舟津川009,船津川町281-2,船津川町,041-077,36.27066689,139.5795033
舟津川280,船津川町289,船津川町,041-078,36.27170095,139.5810436
舟津川065,船津川町305,船津川町,041-079,36.27078826,139.5805071
舟津川006,船津川町305,船津川町,041-080,36.27096582,139.5812373
舟津川248,船津川町501,船津川町,041-081,36.273148,139.575403
舟津川207,船津川町501,船津川町,041-082,36.27065495,139.5747269
舟津川015,船津川町501,船津川町,041-083,36.26938211,139.5755817
舟津川020,船津川町508,船津川町,041-084,36.26939845,139.5743844
伊保内024,船津川町60,船津川町,041-085,36.27127625,139.5872662
舟津川035,船津川町6004,船津川町,041-086,36.27124108,139.565083
舟津川120,船津川町6012,船津川町,041-087,36.26947675,139.5648109
舟津川156,船津川町6015,船津川町,041-088,36.26965353,139.5657907
舟津川128,船津川町6015,船津川町,041-089,36.2699596,139.5659493
舟津川269,船津川町688,船津川町,041-090,36.27152852,139.570081
舟津川214,船津川町688,船津川町,041-091,36.27114952,139.5720485
伊保内060,船津川町73,船津川町,041-092,36.27157451,139.5858816
伊保内339,船津川町75-3,船津川町,041-093,36.27195838,139.5864962
伊保内340,船津川町76,船津川町,041-094,36.27226362,139.5868362
舟津川026,船津川町774,船津川町,041-095,36.27045637,139.5695563
伊保内318,船津川町78,船津川町,041-096,36.27281081,139.5875486
伊保内373,船津川町782,船津川町,041-097,36.27451399,139.5890601
伊保内370,船津川町782,船津川町,041-098,36.27345521,139.5882438
舟津川218,船津川町820,船津川町,041-099,36.27234686,139.5673039
舟津川028,船津川町854,船津川町,041-100,36.27120294,139.568349
舟津川283,船津川町854,船津川町,041-101,36.26927254,139.5721458
舟津川232,船津川町854,船津川町,041-102,36.26938255,139.5726224
舟津川419A,船津川町900,船津川町,041-103,36.27662326,139.5613368
舟津川230,船津川町9000,船津川町,041-104,36.26923485,139.5731681
舟津川251,船津川町9000,船津川町,041-106,36.27124137,139.5699585
伊保内357,船津川町9000,船津川町,041-107,36.27667122,139.5899496
伊保内354,船津川町9000,船津川町,041-108,36.27782134,139.5906594
舟津川224,船津川町955,船津川町,041-109,36.27469139,139.5684952
舟津川245,船津川町955,船津川町,041-110,36.27391974,139.5680987
舟津川220,船津川町955,船津川町,041-111,36.27333486,139.5677979
伊保内071,大古屋町4117,船津川町,041-112,36.27523972,139.5825807
大古屋040,大古屋町4312,船津川町,041-113,36.28281306,139.5708108
大古屋046,大古屋町4316,船津川町,041-114,36.28094243,139.5703098
大古屋048,大古屋町4316,船津川町,041-115,36.28015446,139.5701093
大古屋050,大古屋町4316,船津川町,041-116,36.27932121,139.5698974
大古屋042,大古屋町4316,船津川町,041-117,36.28212814,139.5706296
大古屋757,大古屋町6100-2,船津川町,041-118,36.27492246,139.5797549
大古屋747,大古屋町6100-2,船津川町,041-119,36.27759723,139.5774473
大古屋759,大古屋町6100-2,船津川町,041-120,36.2743536,139.5802788
大古屋750,大古屋町6100-2,船津川町,041-121,36.27685436,139.5781065
大古屋755,大古屋町6100-2,船津川町,041-122,36.27549094,139.5792647
大古屋745,大古屋町6100-2,船津川町,041-123,36.27811575,139.5769502
伊保内128,飯田町782,船津川町,041-124,36.27987532,139.5914857
伊保内382,飯田町782,船津川町,041-125,36.27547189,139.5895546
伊保内130,飯田町782,船津川町,041-126,36.27917789,139.5913418
舟津川083,船津川町9000,船津川町,041-127,36.27255495,139.5633935
舟津川081,船津川町1052-1,船津川町,041-128,36.27229724,139.5641792
舟津川030,船津川町1098,船津川町,041-129,36.27132536,139.567468
伊保内703,馬門町1372-5,飯田町,042-005,36.28316225,139.5966034
伊保内068,飯田町630,飯田町,042-030,36.28332057,139.5958122
伊保内701,飯田町630,飯田町,042-031,36.28317946,139.5958739
伊保内007,飯田町671,飯田町,042-033,36.28337885,139.5949837
伊保内206,飯田町673,飯田町,042-034,36.28331047,139.5941849
伊保内296,飯田町773,飯田町,042-044,36.28251503,139.5928943
伊保内106,飯田町773,飯田町,042-045,36.282758,139.5920827
伊保内294,飯田町775,飯田町,042-046,36.28313469,139.5925501
伊保内114,飯田町795-2,飯田町,042-047,36.2828496,139.5902272
伊保内019,飯田町806,飯田町,042-049,36.28335225,139.589081
伊保内023,飯田町819,飯田町,042-050,36.28311084,139.5868174
伊保内235,飯田町821-1,飯田町,042-051,36.28339858,139.5864077
伊保内236,飯田町823,飯田町,042-052,36.28364687,139.5865738
伊保内022,飯田町837-2,飯田町,042-054,36.28325525,139.5874408
高山284,馬門町1005,馬門町,043-001,36.28143169,139.5972838
高山282,馬門町1372-5,馬門町,043-005,36.28301573,139.5980323
高山282,馬門町1373,馬門町,043-006,36.28305348,139.5984411
高山274,馬門町1382,馬門町,043-007,36.28142261,139.5989433
高山014,馬門町1386,馬門町,043-008,36.28185684,139.5997685
高山048,馬門町1392,馬門町,043-009,36.28285198,139.6001569
高山017,馬門町1442,馬門町,043-013,36.28104886,139.6001933
高山019,馬門町1450,馬門町,043-014,36.28099314,139.6012946
高山023,馬門町1459,馬門町,043-015,36.28118989,139.6033006
高山021,馬門町1459,馬門町,043-016,36.28118983,139.602241
高山149,馬門町1476-1,馬門町,043-017,36.28258266,139.6019093
高山104,馬門町1492-2,馬門町,043-018,36.28366939,139.601242
高山250,馬門町950,馬門町,043-045,36.27995385,139.6012811
高山016,馬門町962,馬門町,043-046,36.28110771,139.5995933
高山258,高山町1584-1,高山町,044-001,36.27850181,139.6015669
高山244,高山町1584-12,高山町,044-002,36.2785599,139.6020085
高山239,高山町1591-2,高山町,044-003,36.2775709,139.6032093
高山223,高山町1623,高山町,044-004,36.27778756,139.6039559
高山249,高山町1632,高山町,044-005,36.27686944,139.6047642
高山231,高山町1643-1,高山町,044-006,36.27738216,139.6057466
高山226,高山町1646,高山町,044-007,36.27788345,139.6048483
高山247,高山町1648,高山町,044-008,36.2775426,139.6045284
高山261,高山町1667,高山町,044-009,36.2785284,139.6056516
高山230,高山町1675,高山町,044-010,36.27777097,139.6056033
高山039,高山町1684,高山町,044-011,36.27822769,139.6067204
高山042,高山町1734,高山町,044-012,36.27781114,139.607394
高山041,高山町1744-1,高山町,044-013,36.27824545,139.6073407
高山040,高山町1745-1,高山町,044-014,36.2786538,139.607424
高山037,高山町1746-1,高山町,044-015,36.27885674,139.6069829
高山036,高山町1748,高山町,044-016,36.27894145,139.6063552
高山033,高山町1760-1,高山町,044-017,36.27903336,139.605493
高山044,高山町1763-1,高山町,044-018,36.27897026,139.6047819
高山029,高山町1768,高山町,044-019,36.27886605,139.6037318
高山211,高山町1785,高山町,044-020,36.27954972,139.6012822
高山213,高山町1790,高山町,044-021,36.27959721,139.6019293
高山257,高山町1799,高山町,044-022,36.28004159,139.6017685
高山025,高山町1809,高山町,044-023,36.28011581,139.6030042
高山216,高山町1814,高山町,044-024,36.27876489,139.6027293
高山028,高山町1822,高山町,044-025,36.27927102,139.6035567
高山153,高山町1840,高山町,044-026,36.27956347,139.6038792
高山313,高山町1889,高山町,044-027,36.28041077,139.6069104
高山311,高山町1889,高山町,044-028,36.27978362,139.6066957
高山251,馬門町962,高山町,044-029,36.27944958,139.599707
高山126,越名町103,越名町,047-001,36.28069997,139.6085228
高山118,越名町117,越名町,047-013,36.28120179,139.607084
越名253,越名町128-17,越名町,047-019,36.28251995,139.6071526
高山137,越名町13,越名町,047-021,36.28031095,139.6096113
高山115,越名町156,越名町,047-023,36.28186661,139.6060065
高山116,越名町156,越名町,047-024,36.28234075,139.6059943
高山114,越名町156,越名町,047-025,36.28138005,139.6060754
高山112,越名町157-1,越名町,047-026,36.2815424,139.6050533
高山111,越名町160-3,越名町,047-027,36.28155629,139.6044933
越名241,越名町210,越名町,047-031,36.28302451,139.6059265
越名240,越名町326,越名町,047-037,36.28343275,139.6058093
羽田086,下羽田町1047-1,下羽田町,090-008,36.2826057,139.5452213
羽田257,下羽田町1053,下羽田町,090-009,36.28141836,139.5453352
羽田048,下羽田町1054-2,下羽田町,090-010,36.28202325,139.5459527
羽田258,下羽田町1061-1,下羽田町,090-011,36.28147613,139.5462324
羽田282,下羽田町1062-1,下羽田町,090-012,36.28107009,139.5464888
羽田254,下羽田町1067,下羽田町,090-013,36.28119114,139.5442864
羽田213,下羽田町1074,下羽田町,090-014,36.28207687,139.5448266
羽田251,下羽田町1079-1,下羽田町,090-015,36.28222743,139.5441003
羽田211,下羽田町1086,下羽田町,090-016,36.283494,139.5449948
羽田244,下羽田町1092,下羽田町,090-017,36.28340141,139.5439016
羽田246,下羽田町1101-1,下羽田町,090-019,36.28285842,139.54384
羽田252,下羽田町1104,下羽田町,090-020,36.28221327,139.5432389
羽田248,下羽田町1113,下羽田町,090-022,36.28302228,139.5428414
羽田260,下羽田町1165,下羽田町,090-031,36.28149612,139.5472035
羽田052,下羽田町1169,下羽田町,090-032,36.28152253,139.547884
羽田085,下羽田町1183-1,下羽田町,090-033,36.28309705,139.544984
大古屋451,下羽田町19-2,下羽田町,090-034,36.27581685,139.5557872
大古屋448,下羽田町23-1,下羽田町,090-035,36.27650434,139.5565633
羽田158,下羽田町343-2,下羽田町,090-036,36.28284827,139.5482423
羽田046,下羽田町357-2,下羽田町,090-037,36.28138369,139.5486187
羽田160,下羽田町9000,下羽田町,090-046,36.28277664,139.549656
羽田153,下羽田町9000,下羽田町,090-047,36.2827724,139.5463301
君田531,大橋町1539-4,佐野市管理防犯灯,000-001,36.30376807,139.558326
大橋南010,大橋町1705,佐野市管理防犯灯,000-002,36.31169758,139.5593528
花岡526,大橋町1017,佐野市管理防犯灯,000-003,36.31839958,139.5674331
花岡526,大橋町1017-13,佐野市管理防犯灯,000-033,36.31823828,139.5675257
久保280,久保町101,久保町,001-001,36.31824242,139.5871352
久保284,久保町101-6,久保町,001-002,36.31804708,139.586158
久保286,久保町101-8,久保町,001-003,36.31829489,139.5863545
久保017,久保町110,久保町,001-004,36.31902674,139.5864068
久保279,久保町111,久保町,001-005,36.31871258,139.5871618
久保124,久保町112,久保町,001-006,36.31946,139.5870718
久保388,久保町117,久保町,001-007,36.32024801,139.5863829
久保384,久保町117-18,久保町,001-008,36.32005712,139.5857752
久保390,久保町117-29,久保町,001-009,36.31984467,139.5865493
久保386,久保町117-37,久保町,001-010,36.31983715,139.5860951
久保361,久保町138,久保町,001-011,36.31918862,139.5853656
久保012,久保町149,久保町,001-012,36.31892728,139.5840795
久保221,久保町152,久保町,001-013,36.31821124,139.5843093
恵比寿110,久保町213,久保町,001-014,36.31640941,139.5835722
恵比寿104,久保町213,久保町,001-015,36.31631335,139.5831895
久保216,久保町216,久保町,001-016,36.3185742,139.584057
久保225,久保町216,久保町,001-017,36.31712545,139.5841222
久保214,久保町220,久保町,001-018,36.31796401,139.5839994
久保216,久保町226,久保町,001-019,36.31847481,139.5834618
久保009,久保町229,久保町,001-020,36.31870726,139.5830804
久保248,久保町234,久保町,001-021,36.31779091,139.5834991
恵比寿001,久保町249,久保町,001-022,36.31633658,139.5817632
恵比寿101,久保町249,久保町,001-023,36.31609163,139.5819861
久保209,久保町262,久保町,001-024,36.31800754,139.5823633
久保501A,久保町267-1,久保町,001-026,36.31902796,139.5820608
恵比寿059,久保町29,久保町,001-027,36.31403614,139.584546
恵比寿242,久保町295,久保町,001-028,36.31551847,139.5861557
恵比寿058,久保町33,久保町,001-029,36.31429444,139.5846296
恵比寿213,久保町41,久保町,001-030,36.3148377,139.5854856
恵比寿057,久保町41,久保町,001-031,36.31459882,139.5847732
恵比寿227,久保町50,久保町,001-032,36.3156826,139.5855972
恵比寿205,久保町55,久保町,001-033,36.31626114,139.5862568
恵比寿245,久保町59,久保町,001-034,36.31609178,139.5870356
久保273,久保町71,久保町,001-035,36.31713387,139.5858742
恵比寿202,久保町72,久保町,001-037,36.31671615,139.5856654
久保229,久保町80,久保町,001-038,36.31727852,139.5848721
久保220,久保町87,久保町,001-039,36.31820314,139.5848342
恵比寿056,久保町9000,久保町,001-040,36.31485515,139.5848606
久保212,久保町9000,久保町,001-041,36.31797817,139.5832297
久保236,久保町9000,久保町,001-042,36.31867511,139.5860378
久保250,久保町9000,久保町,001-043,36.31749741,139.5835196
久保230,久保町9000,久保町,001-044,36.31759104,139.5848557
恵比寿108,久保町9000,久保町,001-045,36.31575617,139.5833557
恵比寿125,久保町9000,久保町,001-046,36.31523122,139.5838932
恵比寿161,久保町9000,久保町,001-047,36.31623585,139.5839708
久保013,久保町9000,久保町,001-048,36.31895727,139.5848078
久保213,久保町9000,久保町,001-049,36.31800175,139.5834697
久保009,久保町9000,久保町,001-050,36.31891724,139.5828555
久保010,久保町9000,久保町,001-051,36.31890726,139.5834279
恵比寿114,久保町9000,久保町,001-052,36.31541597,139.5844095
久保252,久保町9000,久保町,001-053,36.3170324,139.5835422
恵比寿212,久保町9000,久保町,001-054,36.31536263,139.5857194
久保176,久保町9000,久保町,001-055,36.31939328,139.5825904
恵比寿201,久保町9000,久保町,001-057,36.31645173,139.5855457
久保234,久保町97-2,久保町,001-059,36.31840314,139.5854006
恵比寿124,相生町9000,久保町,001-060,36.31537901,139.5832406
久保297,久保町71-16,久保町,001-062,36.31691025,139.5858232
恵比寿206,久保町9000,久保町,001-063,36.31606345,139.585798
久保222,久保町152,久保町,001-064,36.31820172,139.5841054
恵比寿119,相生町177,相生町(佐野),002-001,36.31385359,139.582155
恵比寿008,相生町188,相生町(佐野),002-002,36.3138813,139.5818748
恵比寿179A,相生町188,相生町(佐野),002-003,36.31416381,139.5844435
恵比寿144,相生町188,相生町(佐野),002-004,36.31381719,139.5838408
恵比寿135,相生町188-9,相生町(佐野),002-005,36.31410857,139.5841449
恵比寿126,相生町190,相生町(佐野),002-006,36.31484513,139.5836871
恵比寿147,相生町190,相生町(佐野),002-007,36.31466874,139.5831635
恵比寿140A,相生町196,相生町(佐野),002-008,36.31411213,139.5825697
恵比寿130,相生町196,相生町(佐野),002-009,36.31464523,139.5840307
恵比寿121,相生町196,相生町(佐野),002-010,36.31444931,139.5826597
恵比寿139A,相生町198-28,相生町(佐野),002-011,36.31424625,139.5824459
亀井305,相生町20,相生町(佐野),002-012,36.3124432,139.5841895
亀井336,相生町21,相生町(佐野),002-013,36.31260618,139.5836847
恵比寿004,相生町210,相生町(佐野),002-014,36.31523782,139.5820558
亀井301,相生町21-1,相生町(佐野),002-015,36.31287708,139.5842775
亀井301,相生町24,相生町(佐野),002-016,36.31283813,139.5839658
恵比寿217,相生町28,相生町(佐野),002-017,36.3134656,139.5858323
亀井051,相生町2821,相生町(佐野),002-018,36.31273143,139.5821223
亀井334,相生町2824,相生町(佐野),002-019,36.31270256,139.5826235
亀井334,相生町2827,相生町(佐野),002-020,36.31261927,139.5824471
恵比寿145,相生町2835,相生町(佐野),002-021,36.31367611,139.5840874
恵比寿120,相生町2850,相生町(佐野),002-022,36.3136052,139.5821601
恵比寿155,相生町9000,相生町(佐野),002-023,36.31550257,139.582421
恵比寿117,相生町9000,相生町(佐野),002-024,36.31512756,139.5823397
恵比寿134,相生町9000,相生町(佐野),002-025,36.31417215,139.5839008
恵比寿141,相生町9000,相生町(佐野),002-026,36.31393554,139.5831575
亀井107,高砂町2804,高砂町,003-001,36.31291695,139.5798325
高砂125,高砂町2858,高砂町,003-002,36.31394097,139.5811526
高砂148,高砂町2858,高砂町,003-003,36.3137277,139.5810974
高砂126,高砂町2861,高砂町,003-004,36.31400434,139.5808599
高砂127,高砂町2864,高砂町,003-005,36.31403795,139.580471
高砂129,高砂町2867,高砂町,003-006,36.31404851,139.5801352
高砂130A,高砂町2869,高砂町,003-007,36.31387377,139.5798036
高砂137,高砂町35,高砂町,003-008,36.31369595,139.5797225
高砂151A,高砂町61,高砂町,003-009,36.31425343,139.5792314
高砂125,高砂町677-1,高砂町,003-010,36.31428204,139.5810787
高砂138,高砂町677-1,高砂町,003-011,36.31460591,139.5811001
高砂134,高砂町679,高砂町,003-012,36.31441262,139.5806448
高砂113,高砂町679,高砂町,003-013,36.31463762,139.5807076
高砂133,高砂町679-5,高砂町,003-014,36.31428623,139.5807602
高砂130A,高砂町681,高砂町,003-015,36.3141179,139.5797511
高砂114,高砂町681,高砂町,003-016,36.31441373,139.580065
高砂132,高砂町682,高砂町,003-017,36.3143137,139.5797285
高砂115,高砂町682,高砂町,003-018,36.31468282,139.5797496
高砂131,高砂町90,高砂町,003-019,36.31405591,139.5794203
伊賀533,万町10,万町(佐野),004-001,36.31427005,139.5775979
伊賀534,万町18,万町(佐野),004-002,36.31410835,139.5775965
伊賀526,万町36-1,万町(佐野),004-003,36.31440447,139.5777865
伊賀542,万町74,万町(佐野),004-004,36.31400419,139.5767679
伊賀324,伊賀町1,伊賀町,005-001,36.31513104,139.577014
伊賀326,伊賀町13,伊賀町,005-002,36.31512746,139.5776989
伊賀321,伊賀町35,伊賀町,005-003,36.315486,139.577029
伊賀323,伊賀町36,伊賀町,005-004,36.31548241,139.5775828
伊賀113,伊賀町54,伊賀町,005-005,36.31541182,139.5768588
伊賀206,伊賀町696,伊賀町,005-006,36.31511993,139.5757413
伊賀220A,伊賀町698-12,伊賀町,005-007,36.31496575,139.5751288
伊賀106,伊賀町70,伊賀町,005-008,36.31501325,139.5768479
伊賀207,伊賀町704,伊賀町,005-009,36.31569568,139.5758338
伊賀207,伊賀町705,伊賀町,005-010,36.31542234,139.5757563
伊賀212,伊賀町705,伊賀町,005-011,36.31591144,139.5755376
伊賀207,伊賀町706-1,伊賀町,005-012,36.31541403,139.5754152
伊賀251A,伊賀町708,伊賀町,005-013,36.31640388,139.575489
伊賀213,伊賀町708,伊賀町,005-014,36.31599892,139.5757338
伊賀325,伊賀町9,伊賀町,005-015,36.3151274,139.5772887
伊賀210,本町2897,本町(佐野),006-001,36.31427995,139.5759555
伊賀204,本町2897-6,本町(佐野),006-002,36.31443662,139.5756764
伊賀211,本町2899,本町(佐野),006-003,36.31416467,139.5756178
伊賀211,本町2899,本町(佐野),006-004,36.31397247,139.5756367
伊賀208,本町2900,本町(佐野),006-005,36.31431025,139.5756705
大蔵010,本町2904,本町(佐野),006-007,36.31376415,139.5749928
大蔵153A,本町2904,本町(佐野),006-008,36.3145613,139.5749414
大蔵154A,本町2906-2,本町(佐野),006-009,36.31456128,139.5745954
大蔵111,本町2909,本町(佐野),006-010,36.31398106,139.5741504
大蔵112,本町2910,本町(佐野),006-011,36.31383667,139.5742304
大蔵110,本町2914,本町(佐野),006-012,36.31434768,139.5742243
大蔵110,本町2914,本町(佐野),006-013,36.31439243,139.5744101
大蔵111,本町2942,本町(佐野),006-014,36.31415827,139.5742404
大蔵118,本町2946,本町(佐野),006-015,36.31427517,139.5734119
大蔵119,本町2946,本町(佐野),006-016,36.31394609,139.573483
伊賀223A,本町2902,本町(佐野),006-017,36.31409584,139.5751289
伊賀221A,本町2902,本町（佐野）,006-018,36.31445609,139.5751356
大蔵105,大蔵町2927,大蔵町,007-001,36.31544983,139.5735076
大蔵107,大蔵町2932,大蔵町,007-002,36.31508426,139.5738789
大蔵106,大蔵町2933,大蔵町,007-003,36.31511734,139.5735056
大蔵115,大蔵町2949,大蔵町,007-004,36.31446825,139.5734666
大蔵109,大蔵町2935,大蔵町,007-005,36.31478907,139.5741592
大蔵110,大蔵町2937-3,大蔵町,007-006,36.31450491,139.5740382
大蔵110,大蔵町2938,大蔵町,007-007,36.31446994,139.574244
大蔵167,大蔵町2934,大蔵町,007-008,36.31450854,139.5737168
大蔵116,大蔵町2950,大蔵町,007-009,36.31448185,139.5731315
大蔵117,大蔵町2959,大蔵町,007-010,36.31448435,139.5728307
大蔵163,大蔵町2961,大蔵町,007-011,36.31470847,139.5729029
大蔵113,大蔵町2964,大蔵町,007-012,36.31519927,139.5730515
大蔵161,大蔵町2975,大蔵町,007-013,36.31519921,139.5729004
大蔵122,大蔵町2975,大蔵町,007-014,36.31571752,139.5716983
大蔵122,大蔵町2975,大蔵町,007-015,36.31571585,139.5720883
