電柱番号,設置付近住所,町会名,管理番号,緯度,経度
伊保内624,伊保内町3920,伊保内町,035-001,36.28256518,139.5826868
伊保内410,伊保内町3802-1,伊保内町,035-002,36.28199785,139.5787313
伊保内411,伊保内町3805,伊保内町,035-003,36.28190014,139.5781747
伊保内427,伊保内町3845,伊保内町,035-004,36.28134464,139.5793395
伊保内407,伊保内町3863,伊保内町,035-005,36.28223789,139.5792959
伊保内425,伊保内町3869,伊保内町,035-006,36.28180762,139.5795523
伊保内486,伊保内町3872,伊保内町,035-007,36.28098858,139.5799545
伊保内483,伊保内町3873,伊保内町,035-008,36.28109116,139.5807243
伊保内423,伊保内町3879-1,伊保内町,035-009,36.28192548,139.5804294
伊保内405,伊保内町3885,伊保内町,035-010,36.28244203,139.5804419
伊保内404,伊保内町3890,伊保内町,035-011,36.282631,139.580941
伊保内420,伊保内町3900-5,伊保内町,035-012,36.28186547,139.5812907
伊保内436,伊保内町3906,伊保内町,035-013,36.28259851,139.5815609
伊保内421,伊保内町3912,伊保内町,035-014,36.28153723,139.5814667
伊保内033,伊保内町3914,伊保内町,035-015,36.2811095,139.5820308
伊保内003,伊保内町3914,伊保内町,035-016,36.2808987,139.5819084
伊保内403,伊保内町3918,伊保内町,035-017,36.28200971,139.5816095
伊保内031,伊保内町3918,伊保内町,035-018,36.28197611,139.5820867
伊保内030,伊保内町3919,伊保内町,035-019,36.28241466,139.5821683
伊保内601,伊保内町3920,伊保内町,035-020,36.28301762,139.5826418
伊保内419,伊保内町1811-1,伊保内町,035-021,36.28160456,139.57815
伊保内099,伊保内町3922,伊保内町,035-022,36.28186555,139.582402
伊保内303,伊保内町3927,伊保内町,035-023,36.28195144,139.5836039
伊保内087,伊保内町3927,伊保内町,035-024,36.28213694,139.5840867
伊保内089,伊保内町3931,伊保内町,035-025,36.28134488,139.5838664
伊保内302,伊保内町3933,伊保内町,035-026,36.28195198,139.5830016
伊保内091,伊保内町3936-1,伊保内町,035-027,36.28128069,139.5832082
伊保内309,伊保内町3936-1,伊保内町,035-028,36.28086298,139.5837003
伊保内307,伊保内町3940,伊保内町,035-029,36.28098649,139.5829843
伊保内308,伊保内町3940,伊保内町,035-030,36.28101122,139.5833005
伊保内306,伊保内町3946,伊保内町,035-031,36.28111707,139.5826291
伊保内435,伊保内町3981,伊保内町,035-032,36.28054194,139.5795434
伊保内487,伊保内町3981,伊保内町,035-033,36.28040957,139.5804058
伊保内429,伊保内町3981,伊保内町,035-034,36.28148409,139.5785873
伊保内469,伊保内町3998,伊保内町,035-035,36.27870028,139.581081
伊保内037,伊保内町4010-3,伊保内町,035-036,36.27919171,139.5814934
伊保内035,伊保内町4011-1,伊保内町,035-037,36.28016321,139.5817559
伊保内038,伊保内町4024,伊保内町,035-038,36.27875148,139.5815154
伊保内097,伊保内町4115,伊保内町,035-039,36.2760013,139.5833094
伊保内474,伊保内町5682-1,伊保内町,035-040,36.27690865,139.581821
伊保内475,伊保内町5678,伊保内町,035-041,36.27709664,139.5812133
伊保内479,伊保内町5669,伊保内町,035-042,36.27795399,139.5805569
伊保内043,伊保内町5776,伊保内町,035-043,36.27718915,139.5825194
大古屋314,庚申塚町4975,庚申塚町,037-018,36.28344188,139.5640829
大古屋515A,庚申塚町2209-2,船津川町,041-001,36.28280107,139.5629628
舟津川423A,庚申塚町2368,船津川町,041-002,36.27792737,139.5617956
舟津川429A,庚申塚町2368,船津川町,041-003,36.27974383,139.5624004
舟津川426A,庚申塚町2368,船津川町,041-004,36.27876645,139.5620679
大古屋522A,庚申塚町2368,船津川町,041-005,36.28053964,139.5625918
大古屋520A,庚申塚町2368,船津川町,041-006,36.28119986,139.5626828
大古屋517A,庚申塚町2368,船津川町,041-007,36.28242413,139.5629117
大古屋513A,庚申塚町2368,船津川町,041-008,36.28336293,139.5630449
大古屋052,庚申塚町2368,船津川町,041-009,36.27854045,139.5697011
大古屋054,庚申塚町2368,船津川町,041-010,36.27776303,139.56951
大古屋057,庚申塚町2368,船津川町,041-011,36.27654896,139.5692001
大古屋059,庚申塚町2368,船津川町,041-012,36.27575322,139.5689952
舟津川045,船津川町1035,船津川町,041-015,36.27155978,139.5629633
舟津川135,船津川町1041,船津川町,041-016,36.27179275,139.562282
舟津川456,船津川町1052-1,船津川町,041-017,36.2763788,139.5661988
舟津川453,船津川町1052-1,船津川町,041-018,36.27528947,139.5656942
舟津川451,船津川町1052-1,船津川町,041-019,36.27431624,139.5652006
舟津川256,船津川町1052-1,船津川町,041-021,36.27329887,139.5646779
舟津川087,船津川町1059,船津川町,041-022,36.27302367,139.5619836
舟津川028,船津川町1089,船津川町,041-023,36.27057267,139.5683066
舟津川254,船津川町1095,船津川町,041-024,36.27192922,139.5678349
舟津川029,船津川町1096-1,船津川町,041-025,36.27104764,139.5678563
舟津川038,船津川町1149,船津川町,041-027,36.27201009,139.5650582
舟津川286,船津川町1158,船津川町,041-028,36.27217936,139.566069
舟津川217,船津川町1159,船津川町,041-029,36.2717944,139.5673127
舟津川066,船津川町1162,船津川町,041-030,36.27142417,139.5670355
舟津川103,船津川町1167,船津川町,041-031,36.27089171,139.5670864
舟津川142,船津川町1175-1,船津川町,041-032,36.27051037,139.5667589
舟津川032,船津川町1185,船津川町,041-033,36.2714919,139.5662482
舟津川151,船津川町1196,船津川町,041-034,36.27098328,139.5645858
舟津川042,船津川町1200,船津川町,041-035,36.27049493,139.5634885
舟津川045,船津川町1200,船津川町,041-036,36.27123259,139.5636321
舟津川122,船津川町1206,船津川町,041-037,36.27108719,139.5609172
舟津川403,船津川町1265,船津川町,041-038,36.27239042,139.5611084
舟津川401,船津川町1267-1,船津川町,041-039,36.27252231,139.5607248
伊保内058,船津川町130,船津川町,041-040,36.27177868,139.5854181
伊保内056,船津川町136-1,船津川町,041-041,36.27256654,139.5846182
伊保内051,船津川町136-1,船津川町,041-042,36.27396883,139.5834858
舟津川040,船津川町1551-2,船津川町,041-043,36.269878,139.5634483
舟津川039,船津川町1552,船津川町,041-044,36.26971866,139.564091
舟津川108,船津川町1576,船津川町,041-045,36.26940194,139.563127
舟津川130,船津川町1586,船津川町,041-046,36.27046238,139.5628037
舟津川114,船津川町1743,船津川町,041-047,36.27184867,139.5597675
舟津川050,船津川町1745,船津川町,041-048,36.27232867,139.5594423
舟津川118,船津川町1749,船津川町,041-049,36.27229283,139.5582012
舟津川407A,船津川町1759,船津川町,041-050,36.27305303,139.560391
舟津川052,船津川町1776,船津川町,041-051,36.27303137,139.5592739
舟津川244,船津川町1781,船津川町,041-052,36.27310442,139.5578415
舟津川410A,船津川町1793,船津川町,041-053,36.27367631,139.5603287
舟津川412A,船津川町1794,船津川町,041-054,36.27444019,139.5605858
舟津川414A,船津川町1796,船津川町,041-055,36.27507951,139.5608058
舟津川416A,船津川町1796,船津川町,041-056,36.27559007,139.5609932
舟津川421A,船津川町1796,船津川町,041-057,36.27725656,139.561562
