緯度,経度,防犯灯_ID
34.03114528,131.9143581,kdmtscl00001
34.03120944,131.9140092,kdmtscl00002
34.03158722,131.9124803,kdmtscl00003
34.03150417,131.9143792,kdmtscl00004
34.03171167,131.9134403,kdmtscl00005
34.03218667,131.9131319,kdmtscl00006
34.03237278,131.9127956,kdmtscl00007
34.0321175,131.9135106,kdmtscl00008
34.03249278,131.9138131,kdmtscl00009
34.03125222,131.8509067,kdmtscl00010
34.02974833,131.9141453,kdmtscl00011
34.02990361,131.9145281,kdmtscl00012
34.03099833,131.9148167,kdmtscl00013
34.03135917,131.9147964,kdmtscl00014
34.03163278,131.9146356,kdmtscl00015
34.03242472,131.9150581,kdmtscl00016
34.03267611,131.9153814,kdmtscl00017
34.03308667,131.9158814,kdmtscl00018
34.03078167,131.9153864,kdmtscl00019
34.03126194,131.9164442,kdmtscl00020
34.03235667,131.9155764,kdmtscl00021
34.03164972,131.916455,kdmtscl00022
34.03180389,131.9160889,kdmtscl00023
34.03171917,131.9157136,kdmtscl00024
34.03200611,131.9162361,kdmtscl00025
34.03199333,131.9169392,kdmtscl00026
34.03280972,131.9167475,kdmtscl00027
34.03101639,131.8587881,kdmtscl00028
34.03528222,131.9078775,kdmtscl00029
34.03557056,131.9083397,kdmtscl00030
34.03599028,131.90832,kdmtscl00031
34.03759333,131.9106308,kdmtscl00032
34.03543389,131.9103669,kdmtscl00033
34.03485944,131.9112819,kdmtscl00034
34.03407028,131.9113119,kdmtscl00035
34.03661167,131.9169064,kdmtscl00036
34.03706889,131.9168967,kdmtscl00037
34.03663278,131.9165,kdmtscl00038
34.03705778,131.9160636,kdmtscl00039
34.03634806,131.9156464,kdmtscl00040
34.03683639,131.9151975,kdmtscl00041
34.0363775,131.9147864,kdmtscl00042
34.03678139,131.9148017,kdmtscl00043
34.03721056,131.9148636,kdmtscl00044
34.03757611,131.9148486,kdmtscl00045
34.03757722,131.9144256,kdmtscl00046
34.03645389,131.9141089,kdmtscl00047
34.03614667,131.9135667,kdmtscl00048
34.03756306,131.9133081,kdmtscl00049
34.03746194,131.9124631,kdmtscl00050
34.03498139,131.9123153,kdmtscl00051
34.03413583,131.9123094,kdmtscl00052
34.01107,131.868705,kdmtscl00053
34.03477306,131.9156125,kdmtscl00054
34.03522556,131.9148094,kdmtscl00055
34.03605778,131.9160775,kdmtscl00056
34.03586194,131.9169125,kdmtscl00057
34.03554833,131.9168986,kdmtscl00058
34.03529472,131.9165214,kdmtscl00059
34.03471611,131.91649,kdmtscl00060
34.03436389,131.9146239,kdmtscl00061
