city,param,level,value,delta_npc,ltp_pct
sano,r,lo,0.02,742767.9628353119,0.01762974583415643
sano,r,hi,0.045,656552.068054676,0.017258487156460223
sano,ekwh,lo,15.0,679389.6398849487,0.016949711225960715
sano,ekwh,hi,35.0,724479.8425631523,0.017974087561287263
sano,cm,lo,0.7,508263.1448612213,0.01801046167233872
sano,cm,hi,1.3,895606.3375873566,0.017167360921462503
sano,omf,lo,0.005,591130.4776062965,0.017728257628998018
sano,omf,hi,0.02,757336.8730325699,0.01736206991032005
sano,lf,lo,0.25,685831.097410202,0.017096751866440767
sano,lf,hi,0.45,718038.3850374222,0.01782844646034573
sano,h,lo,30.0,668095.7063188553,0.01731275801264215
sano,h,hi,50.0,727114.1611833572,0.017567788881208437
kudamatsu,r,lo,0.02,-490127618.5184574,-10.249826840919464
kudamatsu,r,hi,0.045,-443308566.13734245,-10.271541883184453
kudamatsu,ekwh,lo,15.0,-467744627.0987644,-10.289616122194904
kudamatsu,ekwh,hi,35.0,-468162111.4074154,-10.22970239460059
kudamatsu,cm,lo,0.7,-327723915.09290695,-10.227577484171869
kudamatsu,cm,hi,1.3,-608182823.4132738,-10.276874661830211
kudamatsu,omf,lo,0.005,-387724664.07629824,-10.244067899692046
kudamatsu,omf,hi,0.02,-508067721.841486,-10.265481468056707
kudamatsu,lf,lo,0.25,-467804267.7142868,-10.281007511638334
kudamatsu,lf,hi,0.45,-468102470.791893,-10.238212229408928
kudamatsu,h,lo,30.0,-449577273.3860531,-10.268366430072682
kudamatsu,h,hi,50.0,-481626910.3673105,-10.253449461902045
yasu,r,lo,0.02,6305368.813229561,0.2083321367527833
yasu,r,hi,0.045,5724307.062589645,0.20950278580902923
yasu,ekwh,lo,15.0,6058435.507443428,0.21047674532619298
yasu,ekwh,hi,35.0,6001901.910469532,0.20724674949976557
yasu,cm,lo,0.7,4199917.9974040985,0.20713211773616616
yasu,cm,hi,1.3,7860419.420507431,0.20979019041540684
yasu,omf,lo,0.005,4983037.4510035515,0.20802158316519825
yasu,omf,hi,0.02,6553734.33793211,0.20917612611028522
yasu,lf,lo,0.25,6050359.279303551,0.2100129035066059
yasu,lf,hi,0.45,6009978.138608456,0.20770577410778088
yasu,h,lo,30.0,5802106.715144157,0.20933163243590883
yasu,h,hi,50.0,6199868.250770569,0.20852746863569271
