city,n_mv,mv_demand_kw,lv_nodes,lv_demand_kw
sano,98,18339.905341752772,674,33136.64211906097
kudamatsu,27,8352.107463179282,314,8888.819462765206
yasu,37,9664.667143602901,295,10348.126521249369
