city,n_mv,mv_demand_kw,lv_nodes,lv_demand_kw
sano,52,12203.441866753796,720,39273.10559405991
kudamatsu,19,7234.381401708178,322,10006.54552423631
yasu,31,8877.140597317426,301,11135.653067534839
