city,clusters,total_demand_kw,transformer_sites,transformer_units,s1_npc,s15_npc,s2_npc,delta_npc,routing_policy_delta_npc,delta_npc_B,routing_policy_savings_pct,combined_screening_savings_pct,ltp_pct,ltpB_pct,cluster_positive_fraction,cluster_positive_fraction_B,mean_edge_set_divergence,mean_tld,upsize_km,max_mv_vdrop_pct,min_customer_voltage_pu,all_primary_networks_feasible,s1_plkw,s2_plkw
sano,147,51476.54746081371,772,1875,27916506362.22953,27865172438.990696,26886955944.28366,1029550417.9458734,51333923.238839045,1068813721.5206668,0.18388376601555273,3.6879629728268375,3.6879629728268375,3.823231248138542,0.9795918367346939,0.9795918367346939,0.034013605442176874,0.034013605442176874,0.0,0.3217772759711062,0.9737455833970152,True,875.5342833842225,965.629662713445
kudamatsu,49,17240.926925944485,341,691,15165377050.079098,15102526667.815725,14284014887.928123,881362162.1509743,62850382.26337011,941642988.6419883,0.4144333639435777,5.8116732557360145,5.8116732557360145,6.1845799785835744,1.0,1.0,0.02463054187192118,0.02463054187192118,0.0,0.5931315347040365,0.9700070578686115,True,296.72297149305814,329.7522894763506
yasu,57,20012.79366485227,332,748,11930105609.347654,11912103132.063795,11397250319.899416,532855289.44823813,18002477.283858262,548840255.5230026,0.1508995634519169,4.466475879565789,4.466475879565789,4.594308506685631,0.9824561403508771,0.9824561403508771,0.03508771929824561,0.03508771929824561,0.0,0.43259071382277453,0.9710073582164842,True,343.46497532786634,377.25876169806565
