city,n,s1_npc,s1cond_npc,s2f_npc,s2_npc,s1_capex,s2_capex,s1_len,s2_len,s1_plkw,s2_plkw,s2_upsize_km,trm_share
sano,360,4844345601.966345,4844345601.966345,4843643667.22512,4843643667.22512,2316326371.0188904,2315847005.4264402,14298.310932215374,14295.351885348395,15.820372815910307,15.788560855906809,0.0,7022275.641520705
kudamatsu,88,4650702307.774376,4650087999.4907875,5119269985.311053,5118655677.027466,3116851156.0959764,3463939612.1980658,19239.82195120973,21376.169278241316,21.662993084545782,21.95753587522048,0.12502364037154481,17430126.723618176
yasu,106,3000350619.5275173,3000350619.5275173,2994320450.818561,2994320450.818561,1840572310.853935,1836042172.0356905,11361.557474407007,11333.593654541299,12.404965411972274,12.444850895269445,0.0,10941304.798807379
