city,cluster,scenario,candidate,family,replicate,candidate_weight,feasible,issues,mv_drop_pct,lv_drop_pct,transformer_drop_pct,customer_min_pu,customer_max_pu,mv_loading_pct,transformer_loading_pct,power_balance_kw,npc_jpy,length_m,capex_trench_jpy,capex_conductor_jpy,capex_transformer_jpy,variable_loss_kwh_y,no_load_loss_kwh_y,conductor_inventory_json
sano,0,S1,c000_r00_A_steiner.csv,A_steiner,0,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
sano,0,S1,c000_r01_A_steiner.csv,A_steiner,1,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
sano,0,S1,c000_r02_A_steiner.csv,A_steiner,2,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
sano,0,S1,c000_r03_A_steiner.csv,A_steiner,3,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
sano,0,S1,c000_r04_A_steiner.csv,A_steiner,4,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
sano,0,S1,c000_r05_A_steiner.csv,A_steiner,5,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
sano,0,S1,c000_r06_A_steiner.csv,A_steiner,6,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
sano,0,S1,c000_r07_A_steiner.csv,A_steiner,7,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
sano,0,S1,c000_r08_A_steiner.csv,A_steiner,8,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
sano,0,S1,c000_r09_A_steiner.csv,A_steiner,9,,True,,0.005427356137674492,0.7761757793908314,1.469452115308275,0.9774894474916321,0.9857068373717016,7.071606682590968,75.17171287957727,3.907985046680551e-14,166797338.27416834,217.20477679053388,81330716.51858008,9330119.419763345,26020093.561912004,8789.842895443953,7927.799999999998,"{""LV:150"":325.0,""MV:150"":217.204776791}"
