scenario,parameter,group,city,clusters,feasible,delta_npc,delta_npc_pct,vof,vof_pct,p_vof_pos,p_ltp_pos,max_vdrop,delta_vs_base_pct
v2,baseline,"coinc=0.6,LVmax=150kW,cluster=100kW",sano,385,360,701934.7412247825,0.0144897742419505,701934.7412247184,0.0144897742419492,0.0083333333333333,0.1638888888888889,2.5015153971585296,0.0
v2,baseline,"coinc=0.6,LVmax=150kW,cluster=100kW",kudamatsu,96,88,-467953369.2530898,-10.061993614831731,18302324.333362028,0.3935389350285189,0.1590909090909091,0.2954545454545454,4.931716168408952,0.0
v2,baseline,"coinc=0.6,LVmax=150kW,cluster=100kW",yasu,108,106,6030168.708955938,0.2009821342115523,6030168.708955965,0.2009821342115532,0.0849056603773584,0.2358490566037736,1.7636899122356904,0.0
mv120,lv_max_node_kw=120,MV threshold,sano,324,307,5295437.449079281,0.0943063369843687,5295437.449079216,0.0943063369843675,0.019543973941368,0.2247557003257329,3.0101436519166613,0.0798165627424182
mv120,lv_max_node_kw=120,MV threshold,kudamatsu,85,78,-95355759.55844691,-2.210156551104675,8672466.296903709,0.2010104925920892,0.1666666666666666,0.358974358974359,2.314574256777361,7.851837063727057
mv120,lv_max_node_kw=120,MV threshold,yasu,102,100,22605790.20353794,0.7820276255008459,22605790.20353797,0.7820276255008469,0.09,0.27,2.1172827997687813,0.5810454912892936
mv200,lv_max_node_kw=200,MV threshold,sano,436,405,-107546428.06880689,-2.2274087308489947,3577176.0305667766,0.0740873803560492,0.0098765432098765,0.1629629629629629,2.586584782290421,-2.241898505090945
mv200,lv_max_node_kw=200,MV threshold,kudamatsu,102,94,12487600.158263022,0.2747521798705077,25511361.022556413,0.5613009676461204,0.1170212765957446,0.3297872340425531,5.420759062423,10.336745794702239
mv200,lv_max_node_kw=200,MV threshold,yasu,133,121,24118121.33237776,0.938008747567816,24343760.05429864,0.9467843521033016,0.0578512396694214,0.2644628099173554,1.409623350614568,0.7370266133562637
t80,cluster_target_kw=80,cluster target,sano,485,472,49850.55555577949,0.00103538247718,49850.55555577576,0.0010353824771799,0.0021186440677966,0.1186440677966101,2.2999232005408152,-0.0134543917647705
t80,cluster_target_kw=80,cluster target,kudamatsu,119,113,-310140284.2428846,-7.462227953136178,18311516.640774548,0.4405900113062823,0.0884955752212389,0.3008849557522124,4.751868329775508,2.599765661695553
t80,cluster_target_kw=80,cluster target,yasu,136,131,-2973587.243193389,-0.1122273884875849,2847569.959632504,0.1074713179634359,0.0305343511450381,0.2519083969465648,1.5064041302674964,-0.3132095226991372
coinc0.5,coincidence=0.5,coincidence,sano,385,377,4011572.39839855,0.0726862668737031,4011572.3983985903,0.0726862668737039,0.0159151193633952,0.1591511936339522,3.502544944423864,0.0581964926317526
coinc0.5,coincidence=0.5,coincidence,kudamatsu,96,93,-778155409.1065458,-15.22070035454133,24826732.11579015,0.4856102597176319,0.1720430107526881,0.2795698924731182,5.911999816281496,-5.158706739709599
coinc0.5,coincidence=0.5,coincidence,yasu,108,108,6051761.402244533,0.195859255623065,6051761.402244528,0.1958592556230648,0.0833333333333333,0.2685185185185185,1.469741593529742,-0.005122878588487312
coinc0.7,coincidence=0.7,coincidence,sano,385,350,726946.8422621647,0.0156347865438624,726946.8422621986,0.0156347865438632,0.0114285714285714,0.1657142857142857,2.9184346300182846,0.0011450123019119008
coinc0.7,coincidence=0.7,coincidence,kudamatsu,96,82,-473712618.82260114,-11.96808521399781,12620311.081108678,0.3188451234870571,0.1341463414634146,0.3536585365853658,3.9971800755502738,-1.9060915991660785
coinc0.7,coincidence=0.7,coincidence,yasu,108,97,6004650.071433066,0.2243876132820902,6042548.391696384,0.2258038346322307,0.0824742268041237,0.2886597938144329,2.057638230941639,0.023405479070537888
coinc0.8,coincidence=0.8,coincidence,sano,385,327,745772.4382728236,0.0192753780870715,745772.4382728027,0.019275378087071,0.0091743119266055,0.1529051987767584,1.4196976783378843,0.004785603845120999
coinc0.8,coincidence=0.8,coincidence,kudamatsu,96,78,-475436881.5039668,-12.474619357516586,11930862.588429837,0.3130446441737724,0.141025641025641,0.358974358974359,4.568205800628884,-2.4126257426848543
coinc0.8,coincidence=0.8,coincidence,yasu,108,88,1426458.7739446908,0.0631551199800791,1426458.7739447758,0.0631551199800828,0.0568181818181818,0.3295454545454545,2.351586549647587,-0.1378270142314732
rep24,n_replicates=24,replicates,sano,384,360,163742.79274270684,0.0033804562998119,163742.79274271335,0.003380456299812,0.0083333333333333,0.0444444444444444,2.5015153971585296,-0.0111093179421386
rep24,n_replicates=24,replicates,kudamatsu,96,88,-469907225.3789281,-10.108252366554485,17671491.588586982,0.3801343904147002,0.1704545454545454,0.1818181818181818,4.931716168408952,-0.04625875172275329
rep24,n_replicates=24,replicates,yasu,108,106,7242856.677219218,0.2413028124088433,7242856.677219214,0.2413028124088432,0.0754716981132075,0.1226415094339622,1.7636899122356904,0.04032067819729099
