city,n_mv,mv_demand_kw,lv_nodes,lv_demand_kw
sano,24,7481.669142278315,748,43994.878318535346
kudamatsu,14,6358.554798985451,327,10882.372126959037
yasu,18,6606.876613706917,314,13405.91705114535
