city,cluster,rep,family,src,edges,length_m,terminals,raw_kw
sano,2,0,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,1,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,2,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,3,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,4,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,5,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,6,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,7,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,8,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,9,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,10,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,11,A_steiner,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,12,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,13,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,14,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,15,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,16,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,17,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,18,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,19,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,20,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,21,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,22,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,2,23,B_incremental,5041.0,2,109.45223051486829,3,159.0808240675916
sano,3,0,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,1,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,2,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,3,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,4,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,5,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,6,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,7,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,8,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,9,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,10,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,11,A_steiner,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,12,B_incremental,4563.0,2,46.6368848854199,3,199.2165379854506
sano,3,13,B_incremental,4563.0,2,46.6368848854199,3,199.2165379854506
