city,replicates_per_family,requested_total_replicates,aggregate_s1_npc_jpy,combined_screening_savings_pct,change_from_previous_percentage_points,mean_non_singleton_records_used_per_cluster
sano,2,4,27919613369.8603,3.6986809663038125,,4.0
sano,4,8,27914412384.506664,3.680738201006418,-0.01794276529739447,8.0
sano,6,12,27915287844.195503,3.6837588981754528,0.0030206971690347473,12.0
sano,8,16,27915810205.110424,3.6855611686255676,0.001802270450114829,16.0
sano,10,20,27916241060.744446,3.687047673148789,0.0014865045232212992,20.0
sano,12,24,27916506362.22953,3.6879629728268233,0.0009152996780343869,24.0
kudamatsu,2,4,15181400642.759167,5.911086703709747,,4.0
kudamatsu,4,8,15174610090.415297,5.8689824462092615,-0.042104257500485964,8.0
kudamatsu,6,12,15172569411.309416,5.8563220196506505,-0.012660426558610993,12.0
kudamatsu,8,16,15167460910.34021,5.82461380737635,-0.03170821227430043,16.0
kudamatsu,10,20,15167247017.144957,5.823285717035091,-0.001328090341258914,20.0
kudamatsu,12,24,15165377050.0791,5.811673255736027,-0.011612461299064236,24.0
yasu,2,4,11940211576.343472,4.547333629496121,,4.0
yasu,4,8,11940287184.243464,4.547938051780237,0.0006044222841161684,8.0
yasu,6,12,11932111964.6415,4.482539606794197,-0.06539844498604008,12.0
yasu,8,16,11930748343.401651,4.471622467816855,-0.010917138977342589,16.0
yasu,10,20,11930800936.967892,4.472043577688531,0.0004211098716764283,20.0
yasu,12,24,11930105609.347652,4.466475879565776,-0.00556769812275526,24.0
