key,value,unit,source,epistemic_label
sano_clusters,147,count,analysis/scenario_results.csv,modeled
sano_total_demand_kw,51476.54746081371,kW,analysis/scenario_results.csv,modeled
sano_transformer_sites,772,count,analysis/scenario_results.csv,modeled
sano_transformer_units,1875,count,analysis/scenario_results.csv,modeled
sano_s1_npc,27916506362.22953,JPY,analysis/scenario_results.csv,modeled
sano_s15_npc,27865172438.990696,JPY,analysis/scenario_results.csv,modeled
sano_s2_npc,26886955944.28366,JPY,analysis/scenario_results.csv,modeled
sano_delta_npc,1029550417.9458734,JPY,analysis/scenario_results.csv,modeled
sano_routing_policy_delta_npc,51333923.238839045,JPY,analysis/scenario_results.csv,modeled
sano_routing_policy_savings_pct,0.1838837660155527,%,analysis/scenario_results.csv,modeled
sano_combined_screening_savings_pct,3.6879629728268375,%,analysis/scenario_results.csv,modeled
sano_s1_plkw,875.5342833842225,kW,analysis/scenario_results.csv,modeled
sano_s2_plkw,965.629662713445,kW,analysis/scenario_results.csv,modeled
sano_max_mv_vdrop_pct,0.3217772759711062,%,analysis/scenario_results.csv,modeled
sano_min_customer_voltage_pu,0.9737455833970152,pu,analysis/scenario_results.csv,modeled
sano_mean_edge_set_divergence,0.0340136054421768,fraction,analysis/scenario_results.csv,modeled
sano_cluster_positive_fraction,0.979591836734694,fraction,analysis/scenario_results.csv,conditional diagnostic
sano_peak_loss_change_pct,10.290331405524732,%,analysis/scenario_results.csv,modeled
sano_frequency_hz,50,Hz,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed engineering parameter
kudamatsu_clusters,49,count,analysis/scenario_results.csv,modeled
kudamatsu_total_demand_kw,17240.926925944485,kW,analysis/scenario_results.csv,modeled
kudamatsu_transformer_sites,341,count,analysis/scenario_results.csv,modeled
kudamatsu_transformer_units,691,count,analysis/scenario_results.csv,modeled
kudamatsu_s1_npc,15165377050.079098,JPY,analysis/scenario_results.csv,modeled
kudamatsu_s15_npc,15102526667.815723,JPY,analysis/scenario_results.csv,modeled
kudamatsu_s2_npc,14284014887.928123,JPY,analysis/scenario_results.csv,modeled
kudamatsu_delta_npc,881362162.1509743,JPY,analysis/scenario_results.csv,modeled
kudamatsu_routing_policy_delta_npc,62850382.26337011,JPY,analysis/scenario_results.csv,modeled
kudamatsu_routing_policy_savings_pct,0.4144333639435777,%,analysis/scenario_results.csv,modeled
