city,total_delta,topology_only,conductor_only,interaction,topo_share
sano,701934.7412247667,701934.7412247667,0.0,0.0,1.0
kudamatsu,-467953369.2530899,-468567677.53667754,614308.2835876644,-2.9802322387695312e-08,1.0013127553383538
yasu,6030168.708955914,6030168.708955914,0.0,0.0,1.0
