city,clusters,clusters_feasible,lv_demand_kw,s1_npc,s2_npc,delta_npc,ltp_pct,p_ltp_pos,mean_tld,upsize_km,max_vdrop,s1_plkw,s2_plkw,vof,vof_pct,p_vof_pos
sano,385,377,38444.729731023195,5519023841.696124,5515012269.297726,4011572.39839855,0.07268626687370318,0.15915119363395225,0.002813852813852814,0.21280661560913894,3.502544944423864,23.00011804776964,21.4616054582947,4011572.3983985903,0.0726862668737039,0.015915119363395226
kudamatsu,96,93,9496.736061799415,5112480969.8679285,5890636378.974474,-778155409.1065458,-15.22070035454133,0.27956989247311825,0.05368971306471306,0.12502364037154481,5.911999816281496,15.778178527129676,20.98785248127523,24826732.11579015,0.4856102597176319,0.17204301075268819
yasu,108,108,10693.922057034486,3089852140.5040298,3083800379.101785,6051761.402244533,0.195859255623065,0.26851851851851855,0.01077872744539411,0.0,1.469741593529742,9.449986205684423,9.477684457974126,6051761.402244528,0.1958592556230648,0.08333333333333333
