city,total_demand_kw,modeled_kw,coverage_pct,clusters,degenerate
sano,51476.5474608137,38444.7297310232,74.68397090983827,385,175
kudamatsu,17240.926925944488,9496.736061799416,55.08251442971165,96,19
yasu,20012.793664852277,10693.922057034486,53.43542853697544,108,24
