city,cluster,rep,family,src,edges,length_m,terminals,raw_kw
sano,1,0,A_steiner,1905.0,6,296.4293959577634,6,208.23572332725354
sano,1,1,A_steiner,1905.0,6,296.4293959577634,6,208.23572332725354
sano,1,2,A_steiner,1905.0,6,296.4293959577634,6,208.23572332725354
sano,1,3,A_steiner,1905.0,6,296.4293959577634,6,208.23572332725354
sano,1,4,A_steiner,1905.0,6,296.4293959577634,6,208.23572332725354
sano,1,5,A_steiner,1905.0,6,296.4293959577634,6,208.23572332725354
sano,1,6,B_incremental,1905.0,6,296.4293959577634,6,208.23572332725354
sano,1,7,B_incremental,1905.0,6,296.42939595776346,6,208.23572332725354
sano,1,8,B_incremental,1905.0,6,296.42939595776346,6,208.23572332725354
sano,1,9,B_incremental,1905.0,6,296.42939595776346,6,208.23572332725354
sano,1,10,B_incremental,1905.0,6,296.42939595776346,6,208.23572332725354
sano,1,11,B_incremental,1905.0,6,296.42939595776346,6,208.23572332725354
sano,2,0,A_steiner,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,1,A_steiner,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,2,A_steiner,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,3,A_steiner,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,4,A_steiner,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,5,A_steiner,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,6,B_incremental,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,7,B_incremental,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,8,B_incremental,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,9,B_incremental,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,10,B_incremental,4022.0,1,73.53763224488875,2,190.74081225019825
sano,2,11,B_incremental,4022.0,1,73.53763224488875,2,190.74081225019825
sano,3,0,A_steiner,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,1,A_steiner,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,2,A_steiner,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,3,A_steiner,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,4,A_steiner,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,5,A_steiner,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,6,B_incremental,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,7,B_incremental,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,8,B_incremental,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,9,B_incremental,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,10,B_incremental,4819.0,1,40.240166358643535,2,45.552343764404654
sano,3,11,B_incremental,4819.0,1,40.240166358643535,2,45.552343764404654
sano,5,0,A_steiner,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,1,A_steiner,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,2,A_steiner,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,3,A_steiner,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,4,A_steiner,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,5,A_steiner,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,6,B_incremental,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,7,B_incremental,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,8,B_incremental,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,9,B_incremental,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,10,B_incremental,4808.0,2,89.98611334500477,3,99.00917734654911
sano,5,11,B_incremental,4808.0,2,89.98611334500477,3,99.00917734654911
sano,6,0,A_steiner,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,1,A_steiner,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,2,A_steiner,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,3,A_steiner,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,4,A_steiner,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,5,A_steiner,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,6,B_incremental,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,7,B_incremental,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,8,B_incremental,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,9,B_incremental,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,10,B_incremental,1480.0,2,43.87520195131182,3,187.43670989370818
sano,6,11,B_incremental,1480.0,2,43.87520195131182,3,187.43670989370818
sano,9,0,A_steiner,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,1,A_steiner,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,2,A_steiner,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,3,A_steiner,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,4,A_steiner,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,5,A_steiner,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,6,B_incremental,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,7,B_incremental,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,8,B_incremental,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,9,B_incremental,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,10,B_incremental,1803.0,2,63.47326217449041,3,147.17188789905086
sano,9,11,B_incremental,1803.0,2,63.47326217449041,3,147.17188789905086
sano,11,0,A_steiner,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,1,A_steiner,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,2,A_steiner,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,3,A_steiner,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,4,A_steiner,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,5,A_steiner,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,6,B_incremental,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,7,B_incremental,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,8,B_incremental,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,9,B_incremental,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,10,B_incremental,1465.0,4,240.31311840675545,2,122.46255132044408
sano,11,11,B_incremental,1465.0,4,240.31311840675545,2,122.46255132044408
sano,12,0,A_steiner,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,1,A_steiner,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,2,A_steiner,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,3,A_steiner,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,4,A_steiner,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,5,A_steiner,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,6,B_incremental,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,7,B_incremental,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,8,B_incremental,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,9,B_incremental,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,10,B_incremental,1625.0,1,7.862722936073093,2,177.19166865330033
sano,12,11,B_incremental,1625.0,1,7.862722936073093,2,177.19166865330033
sano,13,0,A_steiner,1433.0,1,53.36286635053465,2,90.41167710152908
sano,13,1,A_steiner,1433.0,1,53.36286635053465,2,90.41167710152908
sano,13,2,A_steiner,1433.0,1,53.36286635053465,2,90.41167710152908
sano,13,3,A_steiner,1433.0,1,53.36286635053465,2,90.41167710152908
sano,13,4,A_steiner,1433.0,1,53.36286635053465,2,90.41167710152908
sano,13,5,A_steiner,1433.0,1,53.36286635053465,2,90.41167710152908
sano,13,6,B_incremental,1433.0,1,53.36286635053465,2,90.41167710152908
sano,13,7,B_incremental,1433.0,1,53.36286635053465,2,90.41167710152908
sano,13,8,B_incremental,1433.0,1,53.36286635053465,2,90.41167710152908
