city,cluster,requested_weight_count,feasible_fixed_count,feasible_optimized_count,unique_route_count,selected_weight,selected_at_grid_boundary
sano,0,9,9,9,1,0.0,True
sano,1,9,9,9,1,0.0,True
sano,2,9,9,9,2,0.0,True
sano,3,9,9,9,2,0.0,True
sano,4,9,9,9,1,0.0,True
sano,5,9,1,1,1,0.0,True
sano,6,9,9,9,3,0.0,True
sano,7,9,9,9,1,0.0,True
sano,8,9,9,9,1,0.0,True
sano,9,9,9,9,1,0.0,True
sano,10,9,9,9,1,0.0,True
sano,11,9,9,9,1,0.0,True
sano,12,9,9,9,1,0.0,True
sano,13,9,9,9,2,0.0,True
sano,14,9,9,9,1,0.0,True
sano,15,9,9,9,1,0.0,True
sano,16,9,9,9,1,0.0,True
sano,17,9,9,9,1,0.0,True
sano,18,9,9,9,1,0.0,True
sano,19,9,9,9,1,0.0,True
sano,20,9,9,9,2,0.0,True
sano,21,9,9,9,1,0.0,True
sano,22,9,9,9,1,0.0,True
sano,23,9,9,9,2,0.0,True
sano,24,9,9,9,1,0.0,True
sano,25,9,1,1,1,0.0,True
sano,26,9,9,9,2,0.0,True
sano,27,9,9,9,1,0.0,True
sano,28,9,9,9,1,0.0,True
sano,29,9,9,9,3,0.0,True
sano,30,9,9,9,1,0.0,True
sano,31,9,9,9,1,0.0,True
sano,32,9,9,9,1,0.0,True
sano,33,9,9,9,1,0.0,True
sano,34,9,9,9,2,0.0,True
sano,35,9,9,9,1,0.0,True
sano,36,9,9,9,2,0.0,True
sano,37,9,9,9,1,0.0,True
sano,38,9,9,9,1,0.0,True
sano,39,9,9,9,1,0.0,True
sano,40,9,9,9,3,0.0,True
sano,41,9,9,9,1,0.0,True
sano,42,9,9,9,1,0.0,True
sano,43,9,9,9,3,0.0,True
sano,44,9,9,9,1,0.0,True
sano,45,9,9,9,2,0.0,True
sano,46,9,9,9,2,0.0,True
sano,47,9,9,9,1,0.0,True
sano,48,9,9,9,2,0.0,True
sano,49,9,9,9,2,0.0,True
sano,50,9,9,9,2,0.0,True
sano,51,9,9,9,1,0.0,True
sano,52,9,9,9,1,0.0,True
sano,53,9,9,9,2,0.0,True
sano,54,9,9,9,1,0.0,True
sano,55,9,9,9,1,0.0,True
sano,56,9,9,9,1,0.0,True
sano,57,9,9,9,1,0.0,True
sano,58,9,9,9,2,0.0,True
sano,59,9,9,9,1,0.0,True
sano,60,9,9,9,1,0.0,True
sano,61,9,9,9,1,0.0,True
sano,62,9,9,9,2,0.0,True
sano,63,9,9,9,1,0.0,True
sano,64,9,9,9,4,0.0,True
sano,65,9,9,9,1,0.0,True
sano,66,9,9,9,2,0.0,True
sano,67,9,9,9,1,0.0,True
sano,68,9,9,9,1,0.0,True
sano,69,9,9,9,2,0.0,True
sano,70,9,9,9,1,0.0,True
sano,71,9,9,9,2,0.0,True
sano,72,9,9,9,1,0.0,True
sano,73,9,9,9,1,0.0,True
sano,74,9,9,9,2,0.0,True
sano,75,9,9,9,1,0.0,True
sano,76,9,9,9,1,0.0,True
sano,77,9,9,9,1,0.0,True
sano,78,9,9,9,1,0.0,True
sano,79,9,9,9,1,0.0,True
sano,80,9,9,9,1,0.0,True
sano,81,9,9,9,3,0.0,True
sano,82,9,9,9,1,0.0,True
sano,83,9,9,9,2,0.0,True
sano,84,9,9,9,1,0.0,True
sano,85,9,9,9,1,0.0,True
sano,86,9,9,9,1,0.0,True
sano,87,9,9,9,1,0.0,True
sano,88,9,9,9,1,0.0,True
