city,clusters,clusters_feasible,lv_demand_kw,s1_npc,s2_npc,delta_npc,ltp_pct,p_ltp_pos,mean_tld,upsize_km,max_vdrop,s1_plkw,s2_plkw
sano,78,78,4854.887025423459,367654991.23437524,367654991.23437524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kudamatsu,2,2,42.7123633384584,9427051.057291677,9427051.057291677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yasu,10,10,388.79188040155765,47135255.28645838,47135255.28645838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
