city,parameter,level,value,delta_npc,combined_screening_savings_pct
sano,discount_rate,low,0.01,1074946866.3397064,3.4313067268804356
sano,discount_rate,high,0.05,945129958.3422203,3.667586525074776
sano,horizon,low,30.0,965347950.7438164,3.6243050866939375
sano,horizon,high,50.0,1016107712.9031334,3.5271036094497856
sano,electricity_jpy_per_kwh,low,15.0,994451751.706459,3.566720025579913
sano,electricity_jpy_per_kwh,high,40.0,994451751.706459,3.566720025579913
sano,om_fraction,low,0.005,808833750.7203789,3.466772588669082
sano,om_fraction,high,0.025,1180069752.6924896,3.6386209897426016
sano,construction_multiplier,low,0.5,987399605.7761612,5.39958479553255
sano,construction_multiplier,high,2.0,1008556043.567009,2.142624674327796
sano,conductor_multiplier,low,0.6,567511623.7818146,2.107330156447297
sano,conductor_multiplier,high,1.5,1528126911.612259,5.256675507064791
sano,conductor_area_cost_exponent,low,0.4,685601957.9186821,2.458993338479407
sano,conductor_area_cost_exponent,high,1.1,1355396369.9163895,4.8612910248119245
sano,transformer_multiplier,low,0.7,994451751.7064362,3.7671321108211586
sano,transformer_multiplier,high,1.5,994451751.70644,3.2762269504143102
sano,load_factor,low,0.25,1027291625.4549599,3.7208633536452487
sano,load_factor,high,0.5,933219070.4461479,3.2872082143330186
sano,demand_multiplier,low,0.7,1038823210.288971,3.775714338867277
sano,demand_multiplier,high,1.3,934419778.3301048,3.292592957197959
kudamatsu,discount_rate,low,0.01,911929682.1527977,5.39914972063649
kudamatsu,discount_rate,high,0.05,782776703.8691711,5.579846729837069
kudamatsu,horizon,low,30.0,802891294.2862206,5.547007292953178
kudamatsu,horizon,high,50.0,853391453.017271,5.4728324328976505
kudamatsu,electricity_jpy_per_kwh,low,15.0,831846248.087574,5.503135022228943
kudamatsu,electricity_jpy_per_kwh,high,40.0,831846248.087574,5.503135022228943
kudamatsu,om_fraction,low,0.005,683587842.3299332,5.426496011004784
kudamatsu,om_fraction,high,0.025,980104653.8452129,5.557882185377062
kudamatsu,construction_multiplier,low,0.5,816984253.323267,8.689864865204202
kudamatsu,construction_multiplier,high,2.0,861570237.6161804,3.245766417647782
kudamatsu,conductor_multiplier,low,0.6,498220353.4314499,3.441952872190044
kudamatsu,conductor_multiplier,high,1.5,1248878616.4077187,7.846182643618782
kudamatsu,conductor_area_cost_exponent,low,0.4,593907917.0564823,3.9290379271969593
kudamatsu,conductor_area_cost_exponent,high,1.1,1104426241.6837826,7.306406375038262
kudamatsu,transformer_multiplier,low,0.7,831846248.0875626,5.688664329255634
kudamatsu,transformer_multiplier,high,1.5,831846248.0875664,5.219425652079121
kudamatsu,load_factor,low,0.25,843903172.9728012,5.617953187828582
kudamatsu,load_factor,high,0.5,809365106.8953362,5.29282966024632
kudamatsu,demand_multiplier,low,0.7,848136911.9090481,5.6586139125885335
kudamatsu,demand_multiplier,high,1.3,809805938.2114563,5.296907017043914
yasu,discount_rate,low,0.01,563877071.2435513,4.21939370192015
yasu,discount_rate,high,0.05,489919136.73511124,4.44265273398443
yasu,horizon,low,30.0,501437520.441761,4.401861230685461
yasu,horizon,high,50.0,530355842.5875683,4.310080539342334
yasu,electricity_jpy_per_kwh,low,15.0,518018234.300581,4.3475162304922295
yasu,electricity_jpy_per_kwh,high,40.0,518018234.300581,4.3475162304922295
yasu,om_fraction,low,0.005,423487584.4905205,4.252994679035286
yasu,om_fraction,high,0.025,612548884.1106415,4.415358743547545
yasu,construction_multiplier,low,0.5,495845246.6012249,6.441777080243823
yasu,construction_multiplier,high,2.0,562364209.6992912,2.763306636836671
yasu,conductor_multiplier,low,0.6,315453406.80147743,2.7469348641545572
yasu,conductor_multiplier,high,1.5,771224268.6744499,6.192302797265072
yasu,conductor_area_cost_exponent,low,0.4,373957484.89551926,3.1384729869450063
yasu,conductor_area_cost_exponent,high,1.1,684838383.2949486,5.747569852746221
yasu,transformer_multiplier,low,0.7,518018234.3005829,4.5650436418251905
yasu,transformer_multiplier,high,1.5,518018234.30057716,4.027649223011096
yasu,load_factor,low,0.25,530376117.9645519,4.492486758490339
yasu,load_factor,high,0.5,494975930.3854618,4.084197742076879
yasu,demand_multiplier,low,0.7,534715537.32198143,4.544032128932098
yasu,demand_multiplier,high,1.3,495427765.50691605,4.089275889956124
