city,cluster,reconstruction_family,reconstruction_replicate,reconstruction_replicate_within_family,s1_candidate,s2_candidate_weight,selection_count
sano,0,B_incremental,13,1,c000_r13_B_incremental.csv,30.0,21
sano,1,B_incremental,13,1,c001_r13_B_incremental.csv,30.0,21
sano,2,B_incremental,13,1,c002_r13_B_incremental.csv,30.0,21
sano,3,B_incremental,13,1,c003_r13_B_incremental.csv,30.0,21
sano,4,B_incremental,13,1,c004_r13_B_incremental.csv,30.0,21
sano,5,B_incremental,13,1,singleton_co_located_source,30.0,21
sano,6,B_incremental,13,1,c006_r13_B_incremental.csv,30.0,21
sano,7,B_incremental,13,1,c007_r13_B_incremental.csv,30.0,21
sano,8,B_incremental,13,1,c008_r13_B_incremental.csv,30.0,21
sano,9,B_incremental,13,1,c009_r13_B_incremental.csv,30.0,21
sano,10,B_incremental,13,1,c010_r13_B_incremental.csv,30.0,21
sano,11,B_incremental,13,1,c011_r13_B_incremental.csv,30.0,21
sano,12,B_incremental,13,1,c012_r13_B_incremental.csv,30.0,21
sano,13,B_incremental,13,1,c013_r13_B_incremental.csv,30.0,21
sano,14,B_incremental,13,1,c014_r13_B_incremental.csv,30.0,21
sano,15,B_incremental,13,1,c015_r13_B_incremental.csv,30.0,21
sano,16,B_incremental,13,1,c016_r13_B_incremental.csv,30.0,21
sano,17,B_incremental,13,1,c017_r13_B_incremental.csv,30.0,21
sano,18,B_incremental,13,1,c018_r13_B_incremental.csv,30.0,21
sano,19,B_incremental,13,1,c019_r13_B_incremental.csv,30.0,21
sano,20,B_incremental,13,1,c020_r13_B_incremental.csv,30.0,21
sano,21,B_incremental,13,1,c021_r13_B_incremental.csv,30.0,21
sano,22,B_incremental,13,1,c022_r13_B_incremental.csv,30.0,21
sano,23,B_incremental,13,1,c023_r13_B_incremental.csv,30.0,21
sano,24,B_incremental,13,1,c024_r13_B_incremental.csv,30.0,21
sano,25,B_incremental,13,1,singleton_co_located_source,30.0,21
sano,26,B_incremental,13,1,c026_r13_B_incremental.csv,30.0,21
sano,27,B_incremental,13,1,c027_r13_B_incremental.csv,30.0,21
sano,28,B_incremental,13,1,c028_r13_B_incremental.csv,30.0,21
sano,29,B_incremental,13,1,c029_r13_B_incremental.csv,30.0,21
sano,30,B_incremental,13,1,c030_r13_B_incremental.csv,30.0,21
sano,31,B_incremental,13,1,c031_r13_B_incremental.csv,30.0,21
sano,32,B_incremental,13,1,c032_r13_B_incremental.csv,30.0,21
sano,33,B_incremental,13,1,c033_r13_B_incremental.csv,30.0,21
sano,34,B_incremental,13,1,c034_r13_B_incremental.csv,30.0,21
sano,35,B_incremental,13,1,c035_r13_B_incremental.csv,30.0,21
sano,36,B_incremental,13,1,c036_r13_B_incremental.csv,30.0,21
sano,37,B_incremental,13,1,c037_r13_B_incremental.csv,30.0,21
sano,38,B_incremental,13,1,c038_r13_B_incremental.csv,30.0,21
sano,39,B_incremental,13,1,c039_r13_B_incremental.csv,30.0,21
sano,40,B_incremental,13,1,c040_r13_B_incremental.csv,30.0,21
sano,41,B_incremental,13,1,c041_r13_B_incremental.csv,30.0,21
sano,42,B_incremental,13,1,c042_r13_B_incremental.csv,30.0,21
sano,43,B_incremental,13,1,c043_r13_B_incremental.csv,30.0,21
sano,44,B_incremental,13,1,c044_r13_B_incremental.csv,30.0,21
sano,45,B_incremental,13,1,c045_r13_B_incremental.csv,30.0,21
sano,46,B_incremental,13,1,c046_r13_B_incremental.csv,30.0,21
sano,47,B_incremental,13,1,c047_r13_B_incremental.csv,30.0,21
sano,48,B_incremental,13,1,c048_r13_B_incremental.csv,30.0,21
sano,49,B_incremental,13,1,c049_r13_B_incremental.csv,30.0,21
sano,50,B_incremental,13,1,c050_r13_B_incremental.csv,30.0,21
sano,51,B_incremental,13,1,c051_r13_B_incremental.csv,30.0,21
sano,52,B_incremental,13,1,c052_r13_B_incremental.csv,30.0,21
sano,53,B_incremental,13,1,c053_r13_B_incremental.csv,30.0,21
sano,54,B_incremental,13,1,c054_r13_B_incremental.csv,30.0,21
sano,55,B_incremental,13,1,c055_r13_B_incremental.csv,30.0,21
sano,56,B_incremental,13,1,c056_r13_B_incremental.csv,30.0,21
sano,57,B_incremental,13,1,c057_r13_B_incremental.csv,30.0,21
sano,58,B_incremental,13,1,c058_r13_B_incremental.csv,30.0,21
sano,59,B_incremental,13,1,c059_r13_B_incremental.csv,30.0,21
sano,60,B_incremental,13,1,c060_r13_B_incremental.csv,30.0,21
sano,61,B_incremental,13,1,c061_r13_B_incremental.csv,30.0,21
sano,62,B_incremental,13,1,c062_r13_B_incremental.csv,30.0,21
sano,63,B_incremental,13,1,c063_r13_B_incremental.csv,30.0,21
sano,64,B_incremental,13,1,c064_r13_B_incremental.csv,30.0,21
sano,65,B_incremental,13,1,c065_r13_B_incremental.csv,30.0,21
sano,66,B_incremental,13,1,c066_r13_B_incremental.csv,30.0,21
sano,67,B_incremental,13,1,c067_r13_B_incremental.csv,30.0,21
sano,68,B_incremental,13,1,c068_r13_B_incremental.csv,30.0,21
sano,69,B_incremental,13,1,c069_r13_B_incremental.csv,30.0,21
sano,70,B_incremental,13,1,c070_r13_B_incremental.csv,30.0,21
sano,71,B_incremental,13,1,c071_r13_B_incremental.csv,30.0,21
sano,72,B_incremental,13,1,c072_r13_B_incremental.csv,30.0,21
sano,73,B_incremental,13,1,c073_r13_B_incremental.csv,30.0,21
sano,74,B_incremental,13,1,c074_r13_B_incremental.csv,30.0,21
sano,75,B_incremental,13,1,c075_r13_B_incremental.csv,30.0,21
sano,76,B_incremental,13,1,c076_r13_B_incremental.csv,30.0,21
sano,77,B_incremental,13,1,c077_r13_B_incremental.csv,30.0,21
sano,78,B_incremental,13,1,c078_r13_B_incremental.csv,30.0,21
sano,79,B_incremental,13,1,c079_r13_B_incremental.csv,30.0,21
sano,80,B_incremental,13,1,c080_r13_B_incremental.csv,30.0,21
sano,81,B_incremental,13,1,c081_r13_B_incremental.csv,30.0,21
sano,82,B_incremental,13,1,c082_r13_B_incremental.csv,30.0,21
sano,83,B_incremental,13,1,c083_r13_B_incremental.csv,30.0,21
sano,84,B_incremental,13,1,c084_r13_B_incremental.csv,30.0,21
sano,85,B_incremental,13,1,c085_r13_B_incremental.csv,30.0,21
sano,86,B_incremental,13,1,c086_r13_B_incremental.csv,30.0,21
sano,87,B_incremental,13,1,c087_r13_B_incremental.csv,30.0,21
sano,88,B_incremental,13,1,c088_r13_B_incremental.csv,30.0,21
sano,89,B_incremental,13,1,singleton_co_located_source,30.0,21
sano,90,B_incremental,13,1,c090_r13_B_incremental.csv,30.0,21
sano,91,B_incremental,13,1,c091_r13_B_incremental.csv,30.0,21
sano,92,B_incremental,13,1,c092_r13_B_incremental.csv,30.0,21
sano,93,B_incremental,13,1,c093_r13_B_incremental.csv,30.0,21
sano,94,B_incremental,13,1,c094_r13_B_incremental.csv,30.0,21
sano,95,B_incremental,13,1,c095_r13_B_incremental.csv,30.0,21
sano,96,B_incremental,13,1,c096_r13_B_incremental.csv,30.0,21
sano,97,B_incremental,13,1,c097_r13_B_incremental.csv,30.0,21
sano,98,B_incremental,13,1,c098_r13_B_incremental.csv,30.0,21
sano,99,B_incremental,13,1,c099_r13_B_incremental.csv,30.0,21
sano,100,B_incremental,13,1,c100_r13_B_incremental.csv,30.0,21
sano,101,B_incremental,13,1,c101_r13_B_incremental.csv,30.0,21
sano,102,B_incremental,13,1,c102_r13_B_incremental.csv,30.0,21
sano,103,B_incremental,13,1,c103_r13_B_incremental.csv,30.0,21
sano,104,B_incremental,13,1,c104_r13_B_incremental.csv,30.0,21
sano,105,B_incremental,13,1,c105_r13_B_incremental.csv,30.0,21
sano,106,B_incremental,13,1,c106_r13_B_incremental.csv,30.0,21
sano,107,B_incremental,13,1,c107_r13_B_incremental.csv,30.0,21
sano,108,B_incremental,13,1,c108_r13_B_incremental.csv,30.0,21
sano,109,B_incremental,13,1,c109_r13_B_incremental.csv,30.0,21
sano,110,B_incremental,13,1,c110_r13_B_incremental.csv,30.0,21
sano,111,B_incremental,13,1,c111_r13_B_incremental.csv,30.0,21
sano,112,B_incremental,13,1,c112_r13_B_incremental.csv,30.0,21
sano,113,B_incremental,13,1,c113_r13_B_incremental.csv,30.0,21
sano,114,B_incremental,13,1,c114_r13_B_incremental.csv,30.0,21
sano,115,B_incremental,13,1,c115_r13_B_incremental.csv,30.0,21
sano,116,B_incremental,13,1,c116_r13_B_incremental.csv,30.0,21
sano,117,B_incremental,13,1,c117_r13_B_incremental.csv,30.0,21
sano,118,B_incremental,13,1,c118_r13_B_incremental.csv,30.0,21
sano,119,B_incremental,13,1,c119_r13_B_incremental.csv,30.0,21
sano,120,B_incremental,13,1,c120_r13_B_incremental.csv,30.0,21
sano,121,B_incremental,13,1,c121_r13_B_incremental.csv,30.0,21
sano,122,B_incremental,13,1,c122_r13_B_incremental.csv,30.0,21
sano,123,B_incremental,13,1,singleton_co_located_source,30.0,21
sano,124,B_incremental,13,1,c124_r13_B_incremental.csv,30.0,21
sano,125,B_incremental,13,1,singleton_co_located_source,30.0,21
sano,126,B_incremental,13,1,c126_r13_B_incremental.csv,30.0,21
sano,127,B_incremental,13,1,c127_r13_B_incremental.csv,30.0,21
sano,128,B_incremental,13,1,c128_r13_B_incremental.csv,30.0,21
sano,129,B_incremental,13,1,c129_r13_B_incremental.csv,30.0,21
sano,130,B_incremental,13,1,c130_r13_B_incremental.csv,30.0,21
sano,131,B_incremental,13,1,c131_r13_B_incremental.csv,30.0,21
sano,132,B_incremental,13,1,c132_r13_B_incremental.csv,30.0,21
sano,133,B_incremental,13,1,c133_r13_B_incremental.csv,30.0,21
sano,134,B_incremental,13,1,c134_r13_B_incremental.csv,30.0,21
