key,value,unit,source,label
sano_clusters,140,count,scenario_results.csv,modeled
sano_demand_mw,51.476547460813705,MW,scenario_results.csv,modeled
sano_s1_npc_bn,13.328681203749325,bn JPY,scenario_results.csv,modeled
sano_s2_npc_bn,11.703167646042564,bn JPY,scenario_results.csv,modeled
sano_delta_npc_bn,1.625513557706758,bn JPY,scenario_results.csv,modeled
sano_ltp_pct,12.19560684855682,%,scenario_results.csv,modeled
sano_ltpB_pct,11.977955936350972,%,scenario_results.csv,modeled
sano_p_ltp_pos,0.8285714285714286,prob,scenario_results.csv,modeled
sano_mean_tld,0.0917163590377876,frac,scenario_results.csv,modeled
sano_upsize_km,22.236627936222387,km,scenario_results.csv,modeled
sano_max_vdrop,29.159604312907657,%,scenario_results.csv,modeled
sano_s1_plkw,2136.6974887675383,kW,scenario_results.csv,modeled
sano_s2_plkw,818.7785251260553,kW,scenario_results.csv,modeled
sano_loss_red_pct,61.68018498499137,%,scenario_results.csv,modeled
kudamatsu_clusters,43,count,scenario_results.csv,modeled
kudamatsu_demand_mw,17.240926925944496,MW,scenario_results.csv,modeled
kudamatsu_s1_npc_bn,7.3212492494817365,bn JPY,scenario_results.csv,modeled
kudamatsu_s2_npc_bn,7.1349905991003775,bn JPY,scenario_results.csv,modeled
kudamatsu_delta_npc_bn,0.18625865038136,bn JPY,scenario_results.csv,modeled
kudamatsu_ltp_pct,2.544082902170624,%,scenario_results.csv,modeled
kudamatsu_ltpB_pct,3.2986621743741438,%,scenario_results.csv,modeled
kudamatsu_p_ltp_pos,0.7674418604651163,prob,scenario_results.csv,modeled
kudamatsu_mean_tld,0.1085393611556402,frac,scenario_results.csv,modeled
kudamatsu_upsize_km,7.915204560375372,km,scenario_results.csv,modeled
kudamatsu_max_vdrop,31.12323672816703,%,scenario_results.csv,modeled
kudamatsu_s1_plkw,733.7992752220034,kW,scenario_results.csv,modeled
kudamatsu_s2_plkw,292.5644323033956,kW,scenario_results.csv,modeled
kudamatsu_loss_red_pct,60.13018243784947,%,scenario_results.csv,modeled
yasu_clusters,55,count,scenario_results.csv,modeled
yasu_demand_mw,20.01279366485226,MW,scenario_results.csv,modeled
yasu_s1_npc_bn,5.347292283411623,bn JPY,scenario_results.csv,modeled
yasu_s2_npc_bn,4.720643142628306,bn JPY,scenario_results.csv,modeled
yasu_delta_npc_bn,0.6266491407833159,bn JPY,scenario_results.csv,modeled
yasu_ltp_pct,11.718999216244596,%,scenario_results.csv,modeled
yasu_ltpB_pct,10.623145947310306,%,scenario_results.csv,modeled
yasu_p_ltp_pos,0.8,prob,scenario_results.csv,modeled
yasu_mean_tld,0.067051837051837,frac,scenario_results.csv,modeled
yasu_upsize_km,6.479176138121865,km,scenario_results.csv,modeled
