node,cluster
215,45
224,45
225,45
229,45
234,31
238,35
241,31
243,35
259,35
260,31
274,22
277,22
282,55
284,16
286,18
289,22
290,38
292,16
293,22
295,42
301,22
302,11
306,6
309,19
310,6
312,16
313,11
318,19
323,19
324,6
325,11
332,12
340,37
342,11
343,12
346,12
347,19
349,3
350,9
351,37
352,37
354,19
358,19
364,9
366,8
367,8
373,1
375,3
377,0
381,20
382,21
385,0
387,9
390,4
392,3
395,0
396,14
402,4
404,21
406,21
409,0
410,20
414,21
415,32
419,32
420,4
425,44
426,10
428,4
432,7
434,34
442,7
443,36
444,34
445,34
446,7
449,7
451,7
453,47
454,25
456,28
457,28
458,13
459,28
461,13
462,25
464,25
465,13
467,24
470,24
471,5
474,13
476,13
478,52
480,43
481,24
483,5
484,52
485,24
490,49
492,33
493,49
495,49
496,49
497,33
499,49
500,33
501,49
506,33
507,41
508,43
511,48
512,41
515,48
517,53
519,53
522,41
523,41
525,53
527,2
532,53
533,54
534,2
541,54
542,41
547,54
548,2
549,40
550,54
553,54
556,51
558,40
563,51
564,26
565,51
570,51
573,51
574,40
576,26
579,30
587,30
599,26
601,30
604,15
610,30
613,15
626,30
635,15
1287,8
1288,8
1289,9
1290,8
1291,9
1292,9
1316,1
1418,25
1419,25
1421,2
1422,13
1423,51
1424,51
1425,54
1426,2
1427,41
1428,2
1429,48
1430,48
1431,53
1432,49
1433,33
1434,56
1435,24
1436,56
1437,24
1438,13
1439,28
1440,52
1441,28
1442,28
1443,52
1444,28
1452,26
1455,12
1456,9
1458,47
1554,15
1568,15
1600,36
1601,36
1602,36
1603,47
1604,47
1605,47
1606,47
1607,47
1608,36
1609,29
1610,36
1611,50
1612,47
1613,27
1614,47
1615,47
1616,27
1617,50
1618,29
1619,36
1620,27
1621,27
1622,27
1623,47
1624,47
1625,27
1629,14
1630,29
1631,50
1632,29
1633,29
1634,29
1635,29
1636,29
1637,29
1639,14
1640,14
1641,14
1642,14
1643,14
1644,14
1645,29
1646,29
1647,36
1648,36
1649,50
1650,27
1651,27
1652,50
1653,27
1654,27
1655,50
1656,27
1657,50
1667,20
1680,14
1686,44
1696,44
1698,44
1700,44
1701,44
1706,20
1707,38
1708,31
1709,38
1711,23
1712,23
1713,46
1714,46
1718,46
1720,46
1721,46
1722,17
1723,46
1724,46
1725,17
1726,31
1727,17
1728,46
1729,46
1730,23
1731,17
1732,23
1733,23
1734,23
1735,46
1737,17
1742,23
1746,23
1753,39
1759,39
1763,29
1815,18
1828,4
1829,4
1830,32
1831,32
1832,34
1833,34
1834,34
1835,21
1836,21
1837,21
1838,21
1839,10
1840,10
1841,2
1842,2
1843,54
1844,51
1845,51
1875,35
1904,5
1905,5
1921,34
1922,34
1949,52
1950,53
1951,53
1956,15
1959,15
1966,15
2045,14
2046,14
2048,45
2078,44
2079,56
2097,1
2098,32
2100,42
2119,42
2285,22
2286,8
2403,15
2480,16
2481,16
2482,16
2487,12
2488,12
2490,12
2517,38
2526,40
2628,25
2629,52
2630,34
