node,lat,lon,x_m,y_m,p_kw
2048,35.063072600000005,136.0196723,592977.0128610454,3880512.9301370294,14.162169982794468
2062,35.062798400000005,136.0208041,593080.5290613297,3880483.5762704574,0.0
2073,35.0653301,136.0202441,593026.5918705997,3880763.827846704,0.0
2074,35.06661129999999,136.0279653,593729.1774780034,3880913.147967798,0.0
2075,35.06680039999999,136.0287496,593800.475689033,3880934.8573500006,0.0
2077,35.07155530000001,136.02929770000003,593845.0091336658,3881462.7086133,0.0
2078,35.0715569,136.0298137,593892.0547303312,3881463.371878876,24.9777833025975
2079,35.075709499999995,136.0277017,593694.741249064,3881921.9234799603,204.35517154784478
2080,35.065457300000006,136.0209254,593088.5711216384,3880778.570573587,0.0
2085,35.08255050000001,136.0422235,595010.7994829578,3882694.362247289,0.0
2086,35.083461199999995,136.0406656,594867.7189179262,3882793.8785713953,0.0
2087,35.0841104,136.0397024,594779.1586813825,3882864.961069924,0.0
2088,35.0837468,136.0408619,594885.2836562558,3882825.739611038,0.0
2097,35.0696165,136.02551540000002,593502.3612947691,3881244.1351144807,68.38093848548397
2098,35.070817100000006,136.0261428,593558.1968599235,3881377.874502297,43.335485873725496
2100,35.066211299999985,136.0269546,593637.4760216759,3880867.836971122,206.05501732756613
2102,35.0680152,136.0201445,593014.4634288908,3881061.52177297,0.0
2119,35.0660675,136.0267335,593617.4796438046,3880851.6814402346,8.96062781076469
2132,35.064557699999995,136.0337564,594259.5866756042,3880690.8553176722,0.0
2508,35.064727399999995,136.0354328,594412.2538316894,3880711.261593205,0.0
2474,35.07960889999998,136.03597,594444.0894154843,3882362.1842207625,0.0
2475,35.0794752,136.0369807,594536.3874609161,3882348.3144534756,0.0
2476,35.079677399999994,136.0365811,594499.7233608414,3882370.3603089293,0.0
2477,35.07936430000001,136.0364321,594486.5003290311,3882335.4950611438,0.0
2479,35.08093089999999,136.0365141,594492.1695479017,3882509.3148082597,0.0
215,35.0618065,136.0187919,592898.1667027819,3880371.6948965187,115.77565367609549
450,35.073221000000004,136.015782,592610.804439757,3881634.8021263103,0.0
219,35.062201,136.0186681,592886.430737859,3880415.330947233,0.0
220,35.06228959999999,136.0292413,593850.473440146,3880435.056434177,0.0
221,35.0625808,136.0220849,593197.5685158017,3880460.6399424993,0.0
222,35.0626793,136.028494,593781.8833014962,3880477.572477985,0.0
223,35.06267429999999,136.0219142,593181.8966194744,3880470.8498919588,0.0
224,35.062844199999994,136.018328,592854.6894742511,3880486.3472517873,2.192706045597021
225,35.0627914,136.0184999,592870.4242848287,3880480.651630582,83.77663454792477
226,35.0627229,136.0154732,592594.506502602,3880470.2401946574,0.0
227,35.062926000000004,136.0151429,592564.1581922709,3880492.458016632,0.0
452,35.0733146,136.0156643,592599.9673692066,3881645.073365964,0.0
229,35.0630286,136.0182303,592845.5717188526,3880506.706862905,28.321078766851933
2487,35.0676513,136.0269972,593639.715609726,3881027.5780608016,77.86000408719845
231,35.063148700000006,136.0167253,592708.2001530385,3880518.626159249,0.0
233,35.06324,136.020843,593083.5748932092,3880532.587516874,0.0
234,35.0632554,136.0273626,593678.0560671225,3880540.400542335,58.10639875913358
235,35.06327009999999,136.0181385,592836.927349541,3880533.4045575187,0.0
237,35.06338410000001,136.0164942,592686.8608663285,3880544.517982358,0.0
2286,35.0688262,136.0200814,593007.7897620887,3881151.4056298607,37.690849696546266
238,35.06360399999999,136.0202255,593026.8543272811,3880572.380123809,15.033309998176634
239,35.0636035,136.0162742,592666.5519462778,3880568.645715315,0.0
240,35.0636092,136.01794930000003,592819.2910191694,3880570.835764516,0.0
241,35.063695200000005,136.0264183,593591.4467258854,3880588.289211808,37.29578880178704
242,35.063826,136.0182069,592842.5350159197,3880595.1194195733,0.0
243,35.0638119,136.0199333,592999.9739778851,3880595.164389488,0.7619690403911741
244,35.063781700000014,136.030634,593975.7600800699,3880601.8471295456,0.0
2285,35.0655305,136.0216448,593154.0856417435,3880787.360533956,20.741288855907612
246,35.06383699999999,136.0160368,592644.6405699559,3880594.321063776,0.0
247,35.0638397,136.017724,592798.4859472351,3880596.1893039076,0.0
248,35.064117999999986,136.0383041,594674.7766106493,3880646.3992595603,0.0
249,35.06415140000001,136.0381461,594660.330731814,3880649.9534426164,0.0
250,35.06407210000001,136.0174904,592776.9220010357,3880621.7458836124,0.0
251,35.064200799999995,136.0378588,594634.0761156753,3880655.1593905035,0.0
252,35.0642453,136.0298374,593902.5904720477,3880652.5115687563,0.0
253,35.0642942,136.0172734,592756.8835006624,3880646.1756492355,0.0
255,35.064334499999994,136.0374806,594599.4355125824,3880669.6283497205,0.0
256,35.0643005,136.0193209,592943.5779694588,3880648.7808220168,0.0
2493,35.067032600000005,136.033018,594189.4122581575,3880964.632856165,0.0
258,35.064505000000004,136.01705880000003,592737.0767318355,3880669.3544815755,0.0
259,35.06449109999999,136.0212887,593122.7956625667,3880671.754897932,81.59365222691173
260,35.064448899999995,136.0248242,593445.2282741938,3880670.3821687195,152.06532814625004
261,35.064522200000006,136.031342,594039.4703207614,3880684.63864789,0.0
262,35.064532299999996,136.0372668,594579.7119165164,3880691.362278069,0.0
263,35.0645796,136.01818,592839.2287868764,3880678.6711607273,0.0
264,35.0646954,136.0290486,593830.148377302,3880701.6867254507,0.0
2313,35.0711516,136.0164111,592670.5024282526,3881405.8829969973,0.0
265,35.0646999,136.0189481,592909.131539437,3880692.7282274654,0.0
266,35.06477499999999,136.0179922,592821.8830524683,3880700.166852098,0.0
267,35.06498609999999,136.0334406,594230.2980719702,3880738.067936165,0.0
268,35.06497110000001,136.036682,594525.880972879,3880739.4722661097,0.0
269,35.0650109,136.018304,592850.047260371,3880726.619246716,0.0
270,35.0649058,136.0192448,592935.9526471384,3880715.8397213574,0.0
271,35.06496289999999,136.0381623,594660.8709919867,3880739.9671106203,0.0
272,35.064911,136.0187025,592886.4974101762,3880715.9111296665,0.0
273,35.06500619999999,136.0304188,593954.7336517974,3880737.445713667,0.0
274,35.065110100000005,136.0232802,593303.6861017016,3880742.2657391345,650.1520941992328
275,35.065214100000006,136.0180478,592826.4557599021,3880748.9162877686,0.0
276,35.065314799999996,136.0181843,592838.7883634721,3880760.2113374765,0.0
277,35.0653662,136.0219673,593183.67916472,3880769.440426029,44.868437523888915
278,35.0653594,136.0360659,594469.2547259242,3880781.952277981,0.0
279,35.06544670000001,136.0322239,594118.825087071,3880788.001029339,0.0
281,35.0654513,136.0194552,592954.5193807987,3880776.5336449225,0.0
282,35.0656773,136.0339792,594278.6152171127,3880815.233597069,366.72541440511765
283,35.06560709999999,136.0382777,594670.6498164365,3880811.520789243,0.0
284,35.0655986,136.024923,593452.9268500042,3880797.980480809,291.02868075000254
285,35.065957999999995,136.0312112,594025.8966418218,3880843.7506220695,0.0
286,35.0659384,136.0366976,594526.1881742261,3880846.7641265267,229.0666442124271
2326,35.0728872,136.0163314,592661.2734703484,3881598.2930262005,0.0
288,35.06602459999999,136.0292957,593851.1585532124,3880849.3322386118,0.0
289,35.0659543,136.0207917,593075.8155955872,3880833.5647744033,27.620554317825423
290,35.0660617,136.0286201,593789.5126481986,3880852.8110887916,20.423171422346783
291,35.06611389999999,136.019333,592942.6255398853,3880849.9043429187,0.0
