city,recon,npc,capex,length_m,pl_kw,vdrop_pct,eloss_kwh_y
yasu,r00_A_steiner.csv,855276718230.7031,3869302984.060628,23884.5863213619,479789.5602398121,4064.272069401992,1471034791.6952639
yasu,r01_B_incremental.csv,327666610306.30634,4299163586.038612,26538.046827398844,181671.9794350394,1363.4613806704942,557006288.9478308
yasu,r02_A_steiner.csv,868946240037.8693,3869100113.4371862,23883.334033562878,487504.991912721,4195.924537675861,1494690305.2044027
yasu,r03_B_incremental.csv,290116264948.81726,4218170224.889014,26038.087807956876,160539.580674972,1237.8417744672897,492214354.3494642
yasu,r04_A_steiner.csv,833650271421.5797,3868222347.148554,23877.91572313922,467584.0996552309,4041.8872965254877,1433612849.5429378
yasu,r05_B_incremental.csv,337163159783.5894,4320207630.542125,26667.94833667978,187015.97468707451,1427.226663227478,573390978.3905705
yasu,r06_A_steiner.csv,846428423026.8844,3863528487.378079,23848.941280111598,474799.8426287733,4143.238685482712,1455736317.499819
yasu,r07_B_incremental.csv,336021858073.12244,4337245770.5794325,26773.122040613784,186358.85650783568,1491.9443955735105,571376254.0530242
yasu,r08_A_steiner.csv,855328920589.5591,3882435700.3064227,23965.6524710273,479809.04171272746,4170.027562168572,1471094521.8912225
yasu,r09_B_incremental.csv,245914055611.5759,4400979347.435914,27166.53918170317,135452.2541502397,1254.4194144410567,415296611.2246349
yasu,r10_A_steiner.csv,849142753032.0444,3869928309.668858,23888.446355980606,476326.9855059803,4079.671363145619,1460418537.5613356
yasu,r11_B_incremental.csv,339593036008.3725,4244248646.684005,26199.065720271636,188445.16939660267,1525.8339318730818,577772889.3699838
