city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,vof_mean,s1_famA_npc,s1_famB_npc,tld
yasu,0,5,173.10642275396998,103.86385365238196,12,12,40080344.76676011,40080344.76676011,25895859.57056858,159.85098500350978,0.2778648736355592,0.38779012127907936,40080344.76676011,0.38779012127907936,12,0.2778648736355592,40080344.76676011,0.2778648736355592,40080344.76676011,0,25895859.570568584,0.2778648736355592,159.85098500350978,0.38779012127907936,0.0,True,0.0,40080344.76676011,40080344.76676011,0.0
yasu,1,2,24.183100542590637,14.50986032555438,12,12,16059902.252007507,16059902.252007507,8425111.25957099,52.006859626981424,5.507526817596126e-05,0.005597588618757911,16059902.252007507,0.005597588618757911,12,5.507526817596126e-05,16059902.252007505,5.507526817596126e-05,16059902.252007505,0,8425111.259570992,5.507526817596126e-05,52.00685962698143,0.005597588618757911,0.0,True,0.0,16059902.252007505,16059902.252007505,0.0
yasu,2,3,121.84236170287926,73.10541702172753,12,12,16491223.782648595,16491223.782648595,8688841.53295635,53.634824277508336,0.04303540405819333,0.08887190878349958,16491223.782648595,0.08887190878349958,12,0.04303540405819333,16491223.782648597,0.043035404058193324,16491223.782648597,0,8688841.532956352,0.043035404058193324,53.63482427750834,0.08887190878349958,0.0,True,0.0,16491223.782648595,16491223.782648595,0.0
yasu,3,2,88.27799897043388,52.96679938226033,12,12,13204667.265440011,13204667.265440011,6265332.067650783,38.674889306486314,0.030187058107836687,0.11301010737522867,13204667.265440011,0.11301010737522867,12,0.030187058107836687,13204667.26544001,0.03018705810783669,13204667.26544001,0,6265332.067650784,0.03018705810783669,38.67488930648632,0.11301010737522867,0.0,True,0.0,13204667.26544001,13204667.26544001,0.0
yasu,4,3,74.2706415401057,44.562384924063416,12,12,16130677.273151614,16130677.273151614,8454925.783474311,52.19089989798957,0.017339232497955846,0.05639347118804492,16130677.273151614,0.05639347118804492,12,0.017339232497955846,16130677.273151617,0.017339232497955843,16130677.273151617,0,8454925.783474311,0.017339232497955843,52.190899897989574,0.05639347118804492,0.0,True,0.0,16130677.27315162,16130677.27315162,0.0
yasu,5,3,116.2157323118003,69.72943938708016,12,12,123901396.65349752,123901396.65349752,88435921.9348171,545.9007526840561,0.05040597136770127,0.48797718316408073,123901396.65349752,0.48797718316408073,12,0.05040597136770127,123901396.65349755,0.050405971367701266,123901396.65349755,0,88435921.93481712,0.050405971367701266,545.9007526840562,0.48797718316408073,0.0,True,0.0,123901396.65349756,123901396.65349756,0.0
yasu,6,4,213.66524614100598,128.1991476846036,12,12,34474688.137012534,34474688.137012534,21907182.572963048,135.2295220553274,0.14578099988699597,0.16597716855102096,34474688.137012534,0.16597716855102096,12,0.14578099988699597,34474688.137012534,0.14578099988699597,34474688.137012534,0,21907182.572963044,0.14578099988699597,135.22952205532744,0.16597716855102096,0.0,True,0.0,34474688.137012534,34474688.137012534,0.0
yasu,7,1,58.17961401209384,34.907768407256306,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,8,1,21.374308200191344,12.824584920114805,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,9,1,30.67555547790537,18.405333286743222,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
