city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,tld
yasu,18,1,115.77565367609547,69.46539220565728,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
yasu,22,1,26.1418525866738,15.68511155200428,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
yasu,39,1,37.29578880178704,22.377473281072223,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
yasu,41,1,5.567133109824875,3.340279865894925,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
yasu,53,1,12.680395364588424,7.608237218753054,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
yasu,61,1,9.638406799633309,5.783044079779985,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
yasu,74,1,32.87918770625071,19.727512623750425,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
yasu,75,1,88.28795909514783,52.972775457088694,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
yasu,76,1,15.463973719875677,9.278384231925406,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
yasu,82,1,45.06152954168048,27.036917725008287,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0
