city,cluster,pv_kwp,pen,gen_kwh_y,eloss_delta_kwh,capex_dg,npc_s2,npc_s3,delta_npc_s3
yasu,0,151.60354223490378,0.8757823067626584,172646.11389710844,96.99410022154461,37900885.558725946,40080344.76676011,-8700653.551707253,48780998.31846736
yasu,1,24.55158746584128,1.0152373729994495,27959.347806100053,0.02228638968385735,6137896.86646032,16059902.252007505,8169078.809750538,7890823.44225697
yasu,2,103.58528725745649,0.8501582356886362,117962.92512879145,14.58280787197998,25896321.81436412,16491223.782648597,-16809220.648369506,33300444.431018103
yasu,3,73.45022813761062,0.8320332245207621,83645.11980311098,10.010988496382879,18362557.034402657,13204667.26544001,-10407812.737464167,23612480.002904177
yasu,4,75.30653336186705,1.013947527586684,85759.0801924942,7.007463646492582,18826633.340466764,16130677.273151616,-8076678.318065733,24207355.591217346
yasu,5,110.76798683385721,0.953123855354393,126142.58340639659,19.149032255203338,27691996.708464302,123901396.65349756,88289814.27360429,35611582.37989323
yasu,6,188.43402110994984,0.8819123582952509,214588.6632400109,51.24386234911702,47108505.27748746,34474688.137012534,-26117083.953375295,60591772.09038783
yasu,11,216.27747048665077,1.030725842829414,246296.78339019793,209.61502081442654,54069367.62166269,40202420.355187535,-29429675.20902154,69632095.56420907
yasu,12,77.85553801695463,0.6812079127250832,88661.88669370793,4.436647930891986,19463884.504238658,13293207.332419151,-11731905.528456666,25025112.860875823
yasu,13,92.45140672402934,0.9992604560044026,105283.66197732462,11.8652579378806,23112851.681007337,13927746.281282058,-15792730.14218194,29720476.423464
yasu,15,99.86219016979412,0.9047564002975453,113723.06216536154,21.927275863781944,24965547.542448528,22544687.18832929,-9563408.5429596,32108095.73128889
yasu,16,93.12491751361762,0.9053339725152362,106050.65606450776,15.431123278221378,23281229.378404405,20921939.778569177,-9017061.7061605,29939001.484729674
yasu,17,44.43185542614044,0.8999999999999999,50598.99695928873,8.994473248184391,11107963.856535109,87262986.09405136,72977516.17431742,14285469.919733942
yasu,18,144.72643469745816,0.6477066161883789,164814.46383346536,83.63788620217792,36181608.67436454,23607232.76081841,-22955764.5580388,46562997.31885721
yasu,19,76.71342712406789,0.6327001694797495,87361.25080888851,15.950108280310815,19178356.781016972,46247455.135157816,21582760.200053066,24664694.93510475
yasu,20,50.02560709602447,0.8149169025996864,56969.16136095267,9.929719484278621,12506401.774006119,31577122.70852164,15493296.420341201,16171271.206027858
yasu,21,165.14577640015256,0.8699854862806055,188068.01016449372,54.62481098816335,41286444.10003814,16791208.04608825,-36317742.00502898,53108950.05111723
yasu,22,161.94269996951198,0.9222048792897679,184420.34672528025,94.19991879219685,40485674.992378,23252424.3526644,-28849935.259943157,52102359.61260755
yasu,23,141.7480560756503,0.9114607172187471,161422.6862589506,42.557399009668075,35437014.018912576,22070832.74761949,-23511182.97889495,45582015.72651444
yasu,25,125.05792407895154,0.9042478992118942,142415.96394111004,45.51395113267944,31264481.019737884,29689565.89024584,-10529997.259760141,40219563.15000598
yasu,27,66.76613219306344,0.9999167348040294,76033.27134146066,3.017027502719287,16691533.04826586,17324159.843092956,-4136029.0893220752,21460188.932415027
yasu,28,72.41326716997484,0.8665479268238254,82464.22865316736,31.992300579040943,18103316.792493712,32914107.531384517,9622201.516417965,23291906.014966555
