tier,system_kv,area_mm2,material,r20_ohm_per_km,r90_ohm_per_km,x_ohm_per_km,ampacity_air40_a,geometry_basis,provenance
MV,6.6,14,copper,1.34,1.7086340000000002,0.180499485963709,95.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,14,copper,1.34,1.7086340000000002,0.1481847478447764,95.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,22,copper,0.849,1.0825599000000001,0.1698754650939924,120.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,22,copper,0.849,1.0825599000000001,0.13830544960665012,120.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,38,copper,0.491,0.6260741000000001,0.1560743633145837,170.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,38,copper,0.491,0.6260741000000001,0.12710162319159377,170.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,60,copper,0.311,0.3965561,0.14467654399242633,225.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,60,copper,0.311,0.3965561,0.11871474087700928,225.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,100,copper,0.187,0.2384437,0.13470211844460728,310.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,100,copper,0.187,0.2384437,0.11105289566120151,310.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,150,copper,0.124,0.15811240000000001,0.13019028871238472,405.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,150,copper,0.124,0.15811240000000001,0.10576992590188261,405.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,200,copper,0.0933,0.11896683000000001,0.12641618007373828,485.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,200,copper,0.0933,0.11896683000000001,0.10240533442117232,485.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,250,copper,0.0754,0.09614254,0.12246643394059722,560.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,250,copper,0.0754,0.09614254,0.10005419708311176,560.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,325,copper,0.0579,0.07382829,0.11864863107559181,660.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,325,copper,0.0579,0.07382829,0.09748517628056917,660.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,400,copper,0.0471,0.06005721000000001,0.11646859149323999,750.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,400,copper,0.0471,0.06005721000000001,0.09563121813993751,750.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,500,copper,0.0376,0.04794376000000001,0.11350567662797885,855.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,500,copper,0.0376,0.04794376000000001,0.09384373353284395,855.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
MV,6.6,600,copper,0.0314,0.04003814,0.11310963993721886,950.0,fujikura_6600V_CVT_core_od,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, ampacity, geometry); X derived"
LV,0.21,600,copper,0.0314,0.04003814,0.09245891467551186,950.0,fujikura_conductor_od + assumed 600V wall 2.0/1.5 mm,"fujikura_6600V_CV_EE_CVT_EE.pdf (R20, conductor OD, ampacity); 600 V wall thickness assumed; X derived"
