model,phases,primary_kv,secondary_v,freq_hz,rating_kva,no_load_loss_w,load_loss_w,efficiency_pct,impedance_pct,regulation_pct,no_load_current_pct,provenance
HCR-AS-S25TA-50010,1,6.6,210-105,50.0,10,27,122,98.53,1.7,1.23,1.86,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-50020,1,6.6,210-105,50.0,20,41,231,98.66,1.9,1.17,1.38,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-50030,1,6.6,210-105,50.0,30,52,357,98.66,2.5,1.21,1.05,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-50050,1,6.6,210-105,50.0,50,72,530,98.81,2.5,1.08,0.86,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-50075,1,6.6,210-105,50.0,75,105,698,98.94,3.4,0.98,0.37,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-50100,1,6.6,210-105,50.0,100,128,854,99.03,3.0,0.89,0.33,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-50150,1,6.6,210-105,50.0,150,176,1153,99.12,2.8,0.81,0.14,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-50200,1,6.6,210-105,50.0,200,190,1612,99.11,3.3,0.86,0.11,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-50300,1,6.6,210-105,50.0,300,288,1985,99.25,3.5,0.72,0.11,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-50500,1,6.6,210-105,50.0,500,420,2871,99.35,4.5,0.67,0.1,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-60010,1,6.6,210-105,60.0,10,24,122,98.56,1.9,1.23,1.86,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-60020,1,6.6,210-105,60.0,20,38,231,98.67,2.2,1.18,1.38,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-60030,1,6.6,210-105,60.0,30,45,361,98.66,2.9,1.24,1.05,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-60050,1,6.6,210-105,60.0,50,63,540,98.81,2.9,1.11,0.86,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-60075,1,6.6,210-105,60.0,75,94,717,98.93,4.0,1.03,0.18,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-60100,1,6.6,210-105,60.0,100,115,878,99.02,3.6,0.94,0.16,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-60150,1,6.6,210-105,60.0,150,157,1163,99.13,3.3,0.83,0.14,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-60200,1,6.6,210-105,60.0,200,171,1635,99.11,3.9,0.89,0.11,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
