city,clusters,clusters_feasible,demand_MW,S1_NPC_bn,S2_NPC_bn,Delta_NPC_bn,LTP_pct,P_LTP_pos,mean_TLD
sano,210,185,27.463292080131893,4.019478634453321,4.018776699712097,0.0007019347412247826,0.0174633280845949,0.3189189189189189,0.0051587301587301
kudamatsu,77,69,8.90726273020215,4.561145322730105,5.029098691983195,-0.4679533692530897,-10.259558425404284,0.3768115942028985,0.0669378240806812
yasu,84,82,9.478121239230509,2.8872260068400166,2.881195838131061,0.006030168708955938,0.20885682986611,0.3048780487804878,0.0138583638583638
