city,estimand,npc_legacy_route_conductor_fixed,npc_legacy_route_conductor_optimized,npc_minimum_construction_route_conductor_fixed,npc_minimum_construction_route_conductor_optimized,total_savings_jpy,routing_policy_shapley_savings_jpy,conductor_shapley_savings_jpy,routing_conductor_interaction_jpy,transformer_variation_savings_jpy,decomposition_check_jpy
kudamatsu,paired representative-legacy versus minimum-construction routing-policy contrast,15136828788.019527,14334385056.53512,15102526667.815727,14303019750.92159,833809037.0979366,32833712.908664703,800975324.1892719,2936814.590270996,0.0,0.0
sano,paired representative-legacy versus minimum-construction routing-policy contrast,27883768297.155724,26903817060.74445,27865172438.990696,26886955944.28366,996812352.8720628,17728487.312908173,979083865.5591544,1734741.7042388916,0.0,0.0
yasu,paired representative-legacy versus minimum-construction routing-policy contrast,11918339971.40855,11445546634.161385,11912103132.063795,11441404119.21246,476935852.1960888,5189677.146838188,471746175.0492506,2094324.3958301544,0.0,0.0
