city,n_draws,delta_mean,delta_median,delta_p2_5,delta_p97_5,combined_screening_savings_pct_mean,combined_screening_savings_pct_p2_5,combined_screening_savings_pct_p97_5,scenario_positive_fraction,coherent_city_reconstruction_draw,coherent_city_s2_policy_draw,conductor_area_price_curve_varied,topology_reoptimized_each_draw,equipment_resized_each_draw,interpretation
sano,5000,575624297.6713687,577566715.9061775,-505145869.3886213,1721255459.5459616,1.9408932783849424,-1.218540384405527,6.210361544730072,0.8246,True,True,True,False,False,conditional scenario-sampling frequency
kudamatsu,5000,655606563.7636992,653656413.9939308,-110445036.82176971,1492930918.1398616,3.936003025099497,-0.5039010091357081,10.08811385609358,0.9432,True,True,True,False,False,conditional scenario-sampling frequency
yasu,5000,281512205.7154857,322700761.05445576,-401593965.2850202,858653818.174828,2.218797075513343,-2.2811161163853786,7.289283590373877,0.7838,True,True,True,False,False,conditional scenario-sampling frequency
