filename,size_bytes,sha256,expected_sha256,read_only_mode,verified
segan_submission_files.zip,1293834,533f2d94b4add0245b008d903506e7be714820e1738eb6eef77dc059ea56dbfa,533f2d94b4add0245b008d903506e7be714820e1738eb6eef77dc059ea56dbfa,0o444,True
manuscript_inline.docx,630725,fe711632a49ac89e1740c80068b04187de487345a2998e86aa479d912be7718d,fe711632a49ac89e1740c80068b04187de487345a2998e86aa479d912be7718d,0o444,True
