check,expected,actual,ok
sano_clusters,210,210,True
sano_feasible,185,185,True
sano_ltp,0.0174633280845949,0.017463328084594602,True
sano_s1npc,4019478634.4533215,4019478634.4533224,True
sano_s2npc,4018776699.712097,4018776699.712097,True
sano_maxvdrop,2.5015153971585296,2.5015153971585296,True
sano_vdrop_gate_ok,True,True,True
kudamatsu_clusters,77,77,True
kudamatsu_feasible,69,69,True
kudamatsu_ltp,-10.259558425404284,-10.259558425404288,True
kudamatsu_s1npc,4561145322.730104,4561145322.7301035,True
kudamatsu_s2npc,5029098691.983194,5029098691.983194,True
kudamatsu_maxvdrop,4.931716168408952,4.931716168408952,True
kudamatsu_vdrop_gate_ok,True,True,True
yasu_clusters,84,84,True
yasu_feasible,82,82,True
yasu_ltp,0.20885682986611,0.20885682986610926,True
yasu_s1npc,2887226006.840017,2887226006.840017,True
yasu_s2npc,2881195838.131061,2881195838.131061,True
yasu_maxvdrop,1.7636899122356904,1.7636899122356904,True
yasu_vdrop_gate_ok,True,True,True
mc_n,500,500,True
sano_mc_p,1.0,1.0,True
kudamatsu_mc_p,0.0,0.0,True
yasu_mc_p,1.0,1.0,True
sano_coverage,69.92900526890274,70.0,True
kudamatsu_coverage,89.01436273515523,89.0,True
yasu_coverage,85.11509097623794,85.0,True
exists_figures/v2_fig1_study_zones.png,True,True,True
exists_figures/v2_fig2_topology_example.png,True,True,True
exists_figures/v2_fig3_delta.png,True,True,True
exists_figures/v2_fig4_tornado.png,True,True,True
exists_figures/v2_fig5_dg.png,True,True,True
exists_tables/table2_results_v2.csv,True,True,True
exists_manuscript/manuscript_draft_v2.docx,True,True,True
exists_manuscript/manuscript_inline_v2.docx,True,True,True
exists_SEGAN_submission_package_FINAL.zip,True,True,True
